row_label_raw,row_label_full,col_0,Current year VND,Previous year VND,numeric__Current year VND,numeric__Previous year VND
Net accounting profit before tax,Net accounting profit before tax,Net accounting profit before tax,"76,833,007,359","143,340,056,816",,
Effect of:,Effect of:,Effect of:,,,,
Expenses not deductible for tax purposes,Expenses not deductible for tax purposes,Expenses not deductible for tax purposes,"86,253,912,669","101,733,909,790",,
Income not subject to tax,Income not subject to tax,Income not subject to tax,"(207,719,096,200)","(220,553,696,000)",,
Tax losses for which no deferred income tax assets was recognised (*),Tax losses for which no deferred income tax assets was recognised (*),Tax losses for which no deferred income tax assets was recognised (*),"44,632,176,172",-,,
Estimated taxable income,Estimated taxable income,Estimated taxable income,-,"24,520,270,606",,
Tax at the tax rate of 20%,Tax at the tax rate of 20%,Tax at the tax rate of 20%,-,"3,320,447,544",,
Tax at the tax rate of 10%,Tax at the tax rate of 10%,Tax at the tax rate of 10%,-,"1,595,884,242",,
,,,-,"4,916,331,786",,
Tax incentives,Tax incentives,Tax incentives,-,"(797,942,121)",,
CIT of previous years,CIT of previous years,CIT of previous years,"713,356,776",-,,
CIT charge (**),CIT charge (**),CIT charge (**),"713,356,776","4,118,389,665",,
Charged to the separate income statement:,Charged to the separate income statement:,Charged to the separate income statement:,,,,
CIT – current,CIT – current,CIT – current,"713,356,776","4,118,389,665",,
CIT – deferred,CIT – deferred,CIT – deferred,-,-,,
CIT charge,CIT charge,CIT charge,"713,356,776","4,118,389,665",,
