row_label_raw,row_label_full,col_0,End of year VND,Purpose,Maturity,Interest,Collaterals,numeric__End of year VND,numeric__Purpose,numeric__Maturity,numeric__Interest,numeric__Collaterals
"Joint Stock Commercial Bank for Foreign Trade of Vietnam (""Vietcombank"") - Gia Lai Branch","Joint Stock Commercial Bank for Foreign Trade of Vietnam (""Vietcombank"") - Gia Lai Branch","Joint Stock Commercial Bank for Foreign Trade of Vietnam (""Vietcombank"") - Gia Lai Branch","100,000,000",Finance working capital for electricity,The maturity period is 6 months from the following date of the disbursement date according to each drawdown.,The interest rate is determined on the disbursement date according to Notice of interest rate from Vietcombank.,"Ownership of all construction works on leased land at 114 Truong Chinh, Pleiku City, Gia Lai and ownership of all construction works and machinery belonging to the Ayun Thuong A1 Hydroelectric Power Plant (Note 13(a)).",,,,,
"The Joint Stock Commercial Bank for Investment and Development of Vietnam (""BIDV"")","The Joint Stock Commercial Bank for Investment and Development of Vietnam (""BIDV"")","The Joint Stock Commercial Bank for Investment and Development of Vietnam (""BIDV"")","38,109,574,140",Finance working capital for electricity,From 15 January 2025 to 13 May 2025.,The interest rate is determined on the disbursement date according to Notice of interest rate from BIDV.,"All properties attached at land number 257, 258, Map No. 01 Dien Loc, Phong Dien, Thua Thien Hue and machinery, equipment (Note 13(a))",,,,,
,,,"38,209,574,140",,,,,,,,,
