row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,numeric__Nội dung nghiệp vụ,numeric__Năm nay VND,numeric__Năm trước VND
Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Cổ tức được chia,41.861.175.600,45.349.606.900,,41861175600.0,45349606900.0
Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Doanh thu bán hàng và cung cấp dịch vụ,1.557.140.000,1.864.467.273,,1557140000.0,1864467273.0
Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,"Thu, chi hộ, dòng tiền thuần",245.034.204,248.887.269,,245034204.0,248887269.0
Công ty Cổ phần Năng lượng Điện Gió Tiền Giang,Công ty Cổ phần Năng lượng Điện Gió Tiền Giang,Công ty Cổ phần Năng lượng Điện Gió Tiền Giang,Thu hồi khoản cho vay,173.000.000.000,80.340.000.000,,173000000000.0,80340000000.0
Công ty Cổ phần Năng lượng Điện Gió Tiền Giang,Công ty Cổ phần Năng lượng Điện Gió Tiền Giang,Công ty Cổ phần Năng lượng Điện Gió Tiền Giang,Cho vay,100.000.000.000,-,,100000000000.0,
Công ty Cổ phần Năng lượng Điện Gió Tiền Giang,Công ty Cổ phần Năng lượng Điện Gió Tiền Giang,Công ty Cổ phần Năng lượng Điện Gió Tiền Giang,Lãi cho vay,4.018.410.959,6.711.671.233,,4018410959.0,6711671233.0
Công ty Cổ phần Năng lượng Điện Gió Tiền Giang,Công ty Cổ phần Năng lượng Điện Gió Tiền Giang,Công ty Cổ phần Năng lượng Điện Gió Tiền Giang,Doanh thu bán hàng và cung cấp dịch vụ,2.708.496.490,1.711.035.165,,2708496490.0,1711035165.0
Công ty Cổ phần Năng lượng Điện Gió Tiền Giang,Công ty Cổ phần Năng lượng Điện Gió Tiền Giang,Công ty Cổ phần Năng lượng Điện Gió Tiền Giang,"Thu, chi hộ, dòng tiền thuần",189.976.840,195.850.960,,189976840.0,195850960.0
Công ty Cổ phần Năng lượng Điện Gió Tiền Giang,Công ty Cổ phần Năng lượng Điện Gió Tiền Giang,Công ty Cổ phần Năng lượng Điện Gió Tiền Giang,Gốp vốn,-,137.500.000.000,,,137500000000.0
Công ty Cổ phần Năng lượng VPL,Công ty Cổ phần Năng lượng VPL,Công ty Cổ phần Năng lượng VPL,Vay,437.008.860.276,116.000.000.000,,437008860276.0,116000000000.0
Công ty Cổ phần Năng lượng VPL,Công ty Cổ phần Năng lượng VPL,Công ty Cổ phần Năng lượng VPL,Trả nợ vay,133.008.860.276,27.000.000.000,,133008860276.0,27000000000.0
Công ty Cổ phần Năng lượng VPL,Công ty Cổ phần Năng lượng VPL,Công ty Cổ phần Năng lượng VPL,Cổ tức được chia,29.549.513.000,23.639.610.400,,29549513000.0,23639610400.0
Công ty Cổ phần Năng lượng VPL,Công ty Cổ phần Năng lượng VPL,Công ty Cổ phần Năng lượng VPL,Lãi vay,13.159.777.002,2.695.616.438,,13159777002.0,2695616438.0
Công ty Cổ phần Năng lượng VPL,Công ty Cổ phần Năng lượng VPL,Công ty Cổ phần Năng lượng VPL,Doanh thu bán hàng và cung cấp dịch vụ,1.284.681.000,5.901.441.000,,1284681000.0,5901441000.0
Công ty Cổ phần Năng lượng VPL,Công ty Cổ phần Năng lượng VPL,Công ty Cổ phần Năng lượng VPL,"Thu, chi hộ, dòng tiền thuần",158.784.102,193.841.550,,158784102.0,193841550.0
