row_label_raw,row_label_full,col_0,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,76.833.007.359,143.340.056.816,76833007359.0,143340056816.0
Điều chỉnh:,Điều chỉnh:,Điều chỉnh:,Điều chỉnh:,Điều chỉnh:,,
Chi phí không được khấu trừ,Điều chỉnh: > Chi phí không được khấu trừ,Chi phí không được khấu trừ,86.253.912.669,101.733.909.790,86253912669.0,101733909790.0
Thu nhập không chịu thuế,Điều chỉnh: > Thu nhập không chịu thuế,Thu nhập không chịu thuế,(207.719.096.200),(220.553.696.000),-207719096200.0,-220553696000.0
Lỗ tính thuế mà không ghi nhận tài sản thuế TNDN hoãn lại (*),Điều chỉnh: > Lỗ tính thuế mà không ghi nhận tài sản thuế TNDN hoãn lại (*),Lỗ tính thuế mà không ghi nhận tài sản thuế TNDN hoãn lại (*),44.632.176.172,-,44632176172.0,
Thu nhập chịu thuế ước tính,Điều chỉnh: > Thu nhập chịu thuế ước tính,Thu nhập chịu thuế ước tính,-,24.520.270.606,,24520270606.0
Thuế tính ở thuế suất 20%,Điều chỉnh: > Thuế tính ở thuế suất 20%,Thuế tính ở thuế suất 20%,-,3.320.447.544,,3320447544.0
Thuế tính ở thuế suất 10%,Điều chỉnh: > Thuế tính ở thuế suất 10%,Thuế tính ở thuế suất 10%,-,1.595.884.242,,1595884242.0
,,,-,4.916.331.786,,4916331786.0
Thuế được miễn hoặc giảm,Điều chỉnh: > Thuế được miễn hoặc giảm,Thuế được miễn hoặc giảm,-,(797.942.121),,-797942121.0
Thuế TNDN các năm trước,Điều chỉnh: > Thuế TNDN các năm trước,Thuế TNDN các năm trước,713.356.776,-,713356776.0,
Chi phí thuế TNDN (**),Điều chỉnh: > Chi phí thuế TNDN (**),Chi phí thuế TNDN (**),713.356.776,4.118.389.665,713356776.0,4118389665.0
Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh riêng:,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh riêng:,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh riêng:,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh riêng:,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh riêng:,,
Thuế TNDN - hiện hành,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh riêng: > Thuế TNDN - hiện hành,Thuế TNDN - hiện hành,713.356.776,4.118.389.665,713356776.0,4118389665.0
Thuế TNDN - hoãn lại,Thuế TNDN - hoãn lại,Thuế TNDN - hoãn lại,-,-,,
Chi phí thuế TNDN,Thuế TNDN - hoãn lại > Chi phí thuế TNDN,Chi phí thuế TNDN,713.356.776,4.118.389.665,713356776.0,4118389665.0
