row_label_raw,row_label_full,col_0,Buildings and structures VND,Machinery and equipment VND,Motor vehicles VND,Office equipment VND,Others VND,Total VND,numeric__Buildings and structures VND,numeric__Machinery and equipment VND,numeric__Motor vehicles VND,numeric__Office equipment VND,numeric__Others VND,numeric__Total VND
Historical cost,Historical cost,Historical cost,Historical cost,Historical cost,Historical cost,Historical cost,Historical cost,Historical cost,,,,,,
As at beginning of year,As at beginning of year,As at beginning of year,"1,035,226,568,284","1,736,255,354,986","190,795,554,932","38,027,594,380","29,469,491,081","3,029,774,563,663",,,,,,
New purchases in the year,New purchases in the year,New purchases in the year,-,"1,404,155,751","644,165,374","58,000,000","846,250,000","2,952,571,125",,,,,,
Disposals,Disposals,Disposals,-,-,"(695,609,091)",-,-,"(695,609,091)",,,,,,
Others,Others,Others,-,"(313,277,834)",-,-,-,"(313,277,834)",,,,,,
As at end of year,As at end of year,As at end of year,"1,035,226,568,284","1,737,346,232,903","190,744,111,215","38,085,594,380","30,315,741,081","3,031,718,247,863",,,,,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,,,,,
As at beginning of year,As at beginning of year,As at beginning of year,"411,805,713,452","569,598,970,382","87,015,254,727","30,215,911,610","19,305,233,249","1,117,941,083,420",,,,,,
Charge for the year,Charge for the year,Charge for the year,"40,850,991,016","86,275,483,596","8,760,597,332","2,683,583,846","1,882,792,317","140,453,448,107",,,,,,
Disposals,Disposals,Disposals,-,-,"(695,609,091)",-,-,"(695,609,091)",,,,,,
Others,Others,Others,-,"(23,523,903)",-,-,-,"(23,523,903)",,,,,,
As at end of year,As at end of year,As at end of year,"452,656,704,468","655,850,930,075","95,080,242,968","32,899,495,456","21,188,025,566","1,257,675,398,533",,,,,,
Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,,,,,,
As at beginning of year,As at beginning of year,As at beginning of year,"623,420,854,832","1,166,656,384,604","103,780,300,205","7,811,682,770","10,164,257,832","1,911,833,480,243",,,,,,
As at end of year,As at end of year,As at end of year,"582,569,863,816","1,081,495,302,828","95,663,868,247","5,186,098,924","9,127,715,515","1,774,042,849,330",,,,,,
