row_label_raw,row_label_full,col_0,col_1,Tại ngàyđầu nămVND,Số phải nộp/phát sinhtrong nămVND,Số đã thực nộptrong nămVND,Cần trừ/phânloại lạitrong nămVND,Tại ngàycuối nămVND,numeric__col_1,numeric__Tại ngàyđầu nămVND,numeric__Số phải nộp/phát sinhtrong nămVND,numeric__Số đã thực nộptrong nămVND,numeric__Cần trừ/phânloại lạitrong nămVND,numeric__Tại ngàycuối nămVND
(a),(a),(a),Phải thu,,,,,,,,,,,
(a),(a) > (a),(a),Thuế GTGT được khấu trừ,-,9.207.903.388,-,(9.207.903.388),-,,,9207903388.0,,-9207903388.0,
(a),(a) > (a),(a),Các loại thuế và phí khác,126.889.936,-,-,(126.889.936),-,,126889936.0,,,-126889936.0,
(a),(a) > (a),(a),,126.889.936,9.207.903.388,-,(9.334.793.324),-,,126889936.0,9207903388.0,,-9334793324.0,
(b),(b),(b),Phải trả,,,,,,,,,,,
(b),(b) > (b),(b),Thuế GTGT,6.032.879.215,50.650.793.496,(45.017.242.509),(9.207.903.388),2.458.526.814,,6032879215.0,50650793496.0,-45017242509.0,-9207903388.0,2458526814.0
(b),(b) > (b),(b),Thuế tài nguyên,4.118.668.391,18.615.029.576,(20.700.501.712),-,2.033.196.255,,4118668391.0,18615029576.0,-20700501712.0,,2033196255.0
(b),(b) > (b),(b),Thuế thu nhập cá nhân,1.222.219.256,6.491.931.965,(6.134.372.699),-,1.579.778.522,,1222219256.0,6491931965.0,-6134372699.0,,1579778522.0
(b),(b) > (b),(b),Thuế TNDN,2.371.527.859,713.356.776,(3.084.884.635),-,-,,2371527859.0,713356776.0,-3084884635.0,,
(b),(b) > (b),(b),Các loại thuế và phí khác,376.180.839,4.708.612.764,(4.957.903.667),(126.889.936),-,,376180839.0,4708612764.0,-4957903667.0,-126889936.0,
(b),(b) > (b),(b),,14.121.475.560,81.179.724.577,(79.894.905.222),(9.334.793.324),6.071.501.591,,14121475560.0,81179724577.0,-79894905222.0,-9334793324.0,6071501591.0
