row_label_raw,row_label_full,col_0,End of year VND,Beginning of year VND,numeric__End of year VND,numeric__Beginning of year VND
Short-term lendings (Note 7),Short-term lendings (Note 7),Short-term lendings (Note 7),Short-term lendings (Note 7),Short-term lendings (Note 7),,
Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,"168,900,000,000","168,900,000,000",,
Tien Giang Wind Power Joint Stock Company,Tien Giang Wind Power Joint Stock Company,Tien Giang Wind Power Joint Stock Company,-,"73,000,000,000",,
,,,"168,900,000,000","241,900,000,000",,
Other short-term receivables (Note 8),Other short-term receivables (Note 8),Other short-term receivables (Note 8),Other short-term receivables (Note 8),Other short-term receivables (Note 8),,
Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,"16,888,624,658","1,811,136,522",,
Other long-term receivables,Other long-term receivables,Other long-term receivables,Other long-term receivables,Other long-term receivables,,
Thanh Thanh Nam Joint Stock Company,Thanh Thanh Nam Joint Stock Company,Thanh Thanh Nam Joint Stock Company,"498,204,382","498,204,382",,
Short-term advances from customers (Note 15),Short-term advances from customers (Note 15),Short-term advances from customers (Note 15),Short-term advances from customers (Note 15),Short-term advances from customers (Note 15),,
Bien Hoa - Thanh Long Joint Stock Company,Bien Hoa - Thanh Long Joint Stock Company,Bien Hoa - Thanh Long Joint Stock Company,"1,000,000,000","1,000,000,000",,
VI-JA Renewable Energy Development,VI-JA Renewable Energy Development,VI-JA Renewable Energy Development,-,"4,385,224,800",,
,,,"1,000,000,000","5,385,224,800",,
Short-term borrowings (Note 19(a)),Short-term borrowings (Note 19(a)),Short-term borrowings (Note 19(a)),Short-term borrowings (Note 19(a)),Short-term borrowings (Note 19(a)),,
VPL Energy Joint Stock Company,VPL Energy Joint Stock Company,VPL Energy Joint Stock Company,"393,000,000,000","89,000,000,000",,
TTC Duc Hue - Long An Electricity Joint Stock Company,TTC Duc Hue - Long An Electricity Joint Stock Company,TTC Duc Hue - Long An Electricity Joint Stock Company,-,"32,000,000,000",,
,,,"393,000,000,000","121,000,000,000",,
