row_label_raw,row_label_full,Related party,Transactions,Current year VND,Previous year VND,numeric__Transactions,numeric__Current year VND,numeric__Previous year VND
Tan Dinh Import Export Joint Stock Company,Tan Dinh Import Export Joint Stock Company,Tan Dinh Import Export Joint Stock Company,Purchase of goods and services,"1,391,782,041","1,032,628,200",,,
Thanh Thanh Cong Lam Dong Tourism Company Limited,Thanh Thanh Cong Lam Dong Tourism Company Limited,Thanh Thanh Cong Lam Dong Tourism Company Limited,Purchase of goods and services,"143,403,704","352,330,034",,,
DHA Medical Service Trading Joint Stock Company,DHA Medical Service Trading Joint Stock Company,DHA Medical Service Trading Joint Stock Company,Purchase of goods and services,"479,081,482","436,150,000",,,
Thanh Binh Tourism Joint Stock Company,Thanh Binh Tourism Joint Stock Company,Thanh Binh Tourism Joint Stock Company,Purchase of services,"148,425,033","127,943,774",,,
Saigon Thuong Tin Real Estate Management Service Company Limited,Saigon Thuong Tin Real Estate Management Service Company Limited,Saigon Thuong Tin Real Estate Management Service Company Limited,Purchase of goods and services,"19,828,000","18,000,000",,,
Ninh Hoa Thermal Electricity One – Member Limited Company,Ninh Hoa Thermal Electricity One – Member Limited Company,Ninh Hoa Thermal Electricity One – Member Limited Company,Revenue from sales of goods and rendering services,"28,100,000","31,500,000",,,
Solwind Energy Joint Stock Company,Solwind Energy Joint Stock Company,Solwind Energy Joint Stock Company,"Net receipts, payment of behalf, net cash flow","3,471,199",-,,,
Solwind Energy Joint Stock Company,Solwind Energy Joint Stock Company,Solwind Energy Joint Stock Company,Interest expense,-,"184,109,589",,,
Solwind Energy Joint Stock Company,Solwind Energy Joint Stock Company,Solwind Energy Joint Stock Company,Borrowings repayment,-,"20,000,000,000",,,
Solwind Energy Joint Stock Company,Solwind Energy Joint Stock Company,Solwind Energy Joint Stock Company,Borrowings,-,"20,000,000,000",,,
Solwind Energy Joint Stock Company,Solwind Energy Joint Stock Company,Solwind Energy Joint Stock Company,Capital contribution,-,"49,990,000,000",,,
