row_label_raw,row_label_full,col_0,col_1,Location,Business activities,Ownership to registered charter capital (%),Ownership to registered charter capital (%)_1,Voting rights (%),Voting rights (%)_1,numeric__col_1,numeric__Location,numeric__Business activities,numeric__Ownership to registered charter capital (%),numeric__Ownership to registered charter capital (%)_1,numeric__Voting rights (%),numeric__Voting rights (%)_1
,,,,Location,Business activities,End of year,Beginning of year,End of period,Beginning of year,,,,,,,
(a),(a),(a),Direct subsidiaries,,,,,,,,,,,,,
1.,(a) > 1.,1.,Gia Lai Hydropower Joint Stock Company,Gia Lai Province,Produce and distribute electricity,62.53,62.53,62.53,62.53,,,,6253.0,6253.0,6253.0,6253.0
2.,(a) > 2.,2.,TTC Duc Hue - Long An Electricity Joint Stock Company,Long An Province,Produce and distribute electricity,99.92,99.92,99.92,99.92,,,,9992.0,9992.0,9992.0,9992.0
3.,(a) > 3.,3.,Tien Giang Wind Power Joint Stock Company,Tien Giang Province,Produce and distribute electricity,54.93,54.93,54.93,54.93,,,,5493.0,5493.0,5493.0,5493.0
4.,(a) > 4.,4.,Truc Son Solar Power Plant Joint Stock Company,Dak Nong Province,Produce and distribute electricity,99.96,99.96,99.96,99.96,,,,9996.0,9996.0,9996.0,9996.0
5.,(a) > 5.,5.,VPL Energy Joint Stock Company,Ben Tre Province,Produce and distribute electricity,88.84,88.84,99.98,99.98,,,,8884.0,8884.0,9998.0,9998.0
6.,(a) > 6.,6.,Ia Bang Wind Electricity Joint Stock Company,Gia Lai Province,Produce and distribute electricity,84.72,84.72,99.53,99.53,,,,8472.0,8472.0,9953.0,9953.0
7.,(a) > 7.,7.,Thuong Lo Hydropower One - Member Limited Company,Thua Thien Hue Province,Produce and distribute electricity,100.00,100.00,100.00,100.00,,,,10000.0,10000.0,10000.0,10000.0
8.,(a) > 8.,8.,VI-JA Renewable Energy Development Cooperation Joint Stock Company,Ho Chi Minh City,Produce and distribute electricity,99.00,99.00,99.00,99.00,,,,9900.0,9900.0,9900.0,9900.0
9.,(a) > 9.,9.,Tien Giang Renewable Energy Joint Stock Company (*),Tien Giang Province,Produce and distribute electricity,99.99,99.99,99.99,99.99,,,,9999.0,9999.0,9999.0,9999.0
10.,(a) > 10.,10.,Gia Lai Construction and Electrical Mechanic One - Member Limited Company,Gia Lai Province,Construct small and medium hydropower projects; produce concrete and other products from cement and gypsum,100.00,100.00,100.00,100.00,,,,10000.0,10000.0,10000.0,10000.0
11.,(a) > 11.,11.,Ca Mau Green Energy Joint Stock Company (*),Ca Mau Province,"Produce, transmit and distribute electricity",99.93,99.93,99.93,99.93,,,,9993.0,9993.0,9993.0,9993.0
12.,(a) > 12.,12.,Tan Thanh Renewable Power Joint Stock Company (*) (i),Tien Giang Province,Produce and distribute electricity,99.90,99.90,99.90,99.90,,,,9990.0,9990.0,9990.0,9990.0
