row_label_raw,row_label_full,Related Party,Transactions,Current year VND,Previous year VND,numeric__Transactions,numeric__Current year VND,numeric__Previous year VND
Thanh Thanh Cong Investment Joint Stock Company,Thanh Thanh Cong Investment Joint Stock Company,Thanh Thanh Cong Investment Joint Stock Company,Purchase of goods and services,"23,765,073,359","26,076,521,626",,,
Deutsche Investitions- und Entwicklungsgesellschaft mbH (DEG),Deutsche Investitions- und Entwicklungsgesellschaft mbH (DEG),Deutsche Investitions- und Entwicklungsgesellschaft mbH (DEG),Dividends on preference share,"40,076,208,000","39,290,400,000",,,
Deutsche Investitions- und Entwicklungsgesellschaft mbH (DEG),Deutsche Investitions- und Entwicklungsgesellschaft mbH (DEG),Deutsche Investitions- und Entwicklungsgesellschaft mbH (DEG),Purchase of goods and services,"860,314,299",-,,,
Deutsche Investitions- und Entwicklungsgesellschaft mbH (DEG),Deutsche Investitions- und Entwicklungsgesellschaft mbH (DEG),Deutsche Investitions- und Entwicklungsgesellschaft mbH (DEG),Supporting fee,"453,640,775","972,532,305",,,
Deutsche Investitions- und Entwicklungsgesellschaft mbH (DEG),Deutsche Investitions- und Entwicklungsgesellschaft mbH (DEG),Deutsche Investitions- und Entwicklungsgesellschaft mbH (DEG),Service fees,-,"6,429,497,864",,,
Bien Hoa Consumer Join Stock Company,Bien Hoa Consumer Join Stock Company,Bien Hoa Consumer Join Stock Company,Purchase of goods and services,-,"51,878,400",,,
Gia Lai Hydropower Joint Stock Company,Gia Lai Hydropower Joint Stock Company,Gia Lai Hydropower Joint Stock Company,Dividend income,"59,609,782,000","74,512,227,500",,,
Gia Lai Hydropower Joint Stock Company,Gia Lai Hydropower Joint Stock Company,Gia Lai Hydropower Joint Stock Company,Revenue from sale of goods and rendering of services,"17,180,884,000","16,809,600,000",,,
Gia Lai Hydropower Joint Stock Company,Gia Lai Hydropower Joint Stock Company,Gia Lai Hydropower Joint Stock Company,"Net receipts, payment of behalf, net cash flow","480,834,888","620,585,930",,,
Gia Lai Hydropower Joint Stock Company,Gia Lai Hydropower Joint Stock Company > Gia Lai Hydropower Joint Stock Company,Gia Lai Hydropower Joint Stock Company,Purchase of goods and services,"430,925",-,,430.925,
Gia Lai Construction and Electrical Mechanic One Member Limited Company,Gia Lai Construction and Electrical Mechanic One Member Limited Company,Gia Lai Construction and Electrical Mechanic One Member Limited Company,Recover net assets from subsidiary dissolution,-,"8,255,944,462",,,
