row_label_raw,row_label_full,col_0,End of year VND,Beginning of year VND,numeric__End of year VND,numeric__Beginning of year VND
Short-term trade accounts receivable (Note 5),Short-term trade accounts receivable (Note 5),Short-term trade accounts receivable (Note 5),Short-term trade accounts receivable (Note 5),Short-term trade accounts receivable (Note 5),,
Attapeu Sugar Cane One Member Limited Company,Attapeu Sugar Cane One Member Limited Company,Attapeu Sugar Cane One Member Limited Company,"57,000,000",-,,
Agris Ninh Hoa Import Export Joint Stock Company,Agris Ninh Hoa Import Export Joint Stock Company,Agris Ninh Hoa Import Export Joint Stock Company,"37,908,000","180,597,600",,
TTC Circular Agrotech Joint Stock Company,TTC Circular Agrotech Joint Stock Company,TTC Circular Agrotech Joint Stock Company,"37,500,000","25,000,000",,
Ninh Hoa Thermoelectricity One - Member Company Limited,Ninh Hoa Thermoelectricity One - Member Company Limited,Ninh Hoa Thermoelectricity One - Member Company Limited,"30,348,000","23,220,000",,
Ninh Hoa Clean Energy One Member Company Limited,Ninh Hoa Clean Energy One Member Company Limited,Ninh Hoa Clean Energy One Member Company Limited,"8,748,000",-,,
Bien Hoa - Phan Rang Sugar Joint Stock Company,Bien Hoa - Phan Rang Sugar Joint Stock Company,Bien Hoa - Phan Rang Sugar Joint Stock Company,"8,748,000",-,,
,,,"180,252,000","228,817,600",,
Prepayment to suppliers (Note 6),Prepayment to suppliers (Note 6),Prepayment to suppliers (Note 6),Prepayment to suppliers (Note 6),Prepayment to suppliers (Note 6),,
Tan Dinh Import Export Joint Stock Company,Tan Dinh Import Export Joint Stock Company,Tan Dinh Import Export Joint Stock Company,"175,750,000",-,,
Toan Hai Van Joint Stock Company,Toan Hai Van Joint Stock Company,Toan Hai Van Joint Stock Company,-,"764,356,515",,
,,,"175,750,000","764,356,515",,
