row_label_raw,row_label_full,Phải thu ngắn hạn của khách hàng (Thuyết minh 5),Số cuối năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 5),Số đầu năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 5),numeric__Số cuối năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 5),numeric__Số đầu năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 5)
Công ty TNHH MTV Mía đường Attapeu,Công ty TNHH MTV Mía đường Attapeu,Công ty TNHH MTV Mía đường Attapeu,57.000.000,-,57000000.0,
Công ty Cổ phần Xuất nhập khẩu Agris Ninh Hòa,Công ty Cổ phần Xuất nhập khẩu Agris Ninh Hòa,Công ty Cổ phần Xuất nhập khẩu Agris Ninh Hòa,37.908.000,180.597.600,37908000.0,180597600.0
Công ty Cổ phần Công nghệ Nông nghiệp Tuần hoàn TTC,Công ty Cổ phần Công nghệ Nông nghiệp Tuần hoàn TTC,Công ty Cổ phần Công nghệ Nông nghiệp Tuần hoàn TTC,37.500.000,25.000.000,37500000.0,25000000.0
Công ty TNHH MTV Nhiệt điện Ninh Hòa,Công ty TNHH MTV Nhiệt điện Ninh Hòa,Công ty TNHH MTV Nhiệt điện Ninh Hòa,30.348.000,23.220.000,30348000.0,23220000.0
Công ty TNHH MTV Năng lượng sạch Ninh Hòa,Công ty TNHH MTV Năng lượng sạch Ninh Hòa,Công ty TNHH MTV Năng lượng sạch Ninh Hòa,8.748.000,-,8748000.0,
Công ty Cổ phần Đường Biên Hòa - Phan Rang,Công ty Cổ phần Đường Biên Hòa - Phan Rang,Công ty Cổ phần Đường Biên Hòa - Phan Rang,8.748.000,-,8748000.0,
,,,180.252.000,228.817.600,180252000.0,228817600.0
Trà trước cho người bán ngắn hạn (Thuyết minh 6),Trà trước cho người bán ngắn hạn (Thuyết minh 6),Trà trước cho người bán ngắn hạn (Thuyết minh 6),Trà trước cho người bán ngắn hạn (Thuyết minh 6),Trà trước cho người bán ngắn hạn (Thuyết minh 6),,
Công ty Cổ phần Xuất nhập khẩu Tân Định,Trà trước cho người bán ngắn hạn (Thuyết minh 6) > Công ty Cổ phần Xuất nhập khẩu Tân Định,Công ty Cổ phần Xuất nhập khẩu Tân Định,175.750.000,-,175750000.0,
Công ty Cổ phần Toàn Hải Vân,Trà trước cho người bán ngắn hạn (Thuyết minh 6) > Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,-,764.356.515,,764356515.0
,,,175.750.000,764.356.515,175750000.0,764356515.0
