row_label_raw,row_label_full,Buildings and structures,5 - 48 years,numeric__5 - 48 years
Machineries and equipment,Machineries and equipment,Machineries and equipment,5 - 20 years,
"Motor vehicles, transmissions","Motor vehicles, transmissions","Motor vehicles, transmissions",5 - 25 years,
Office equipment,Office equipment,Office equipment,3 - 10 years,
Others,Others,Others,2 - 20 years,
