row_label_raw,row_label_full,Số dư đầu năm > Trích lập trong năm (Thuyết minh 28),Năm nay VND > 86.698.545.219 > 126.752.849.161,Năm trước VND > 31.089.602.048 > 62.631.667.928,numeric__Năm nay VND > 86.698.545.219 > 126.752.849.161,numeric__Năm trước VND > 31.089.602.048 > 62.631.667.928
Giảm,Giảm,Giảm,-,(7.022.724.757),,-7022724757.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,213.451.394.380,86.698.545.219,213451394380.0,86698545219.0
