row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư và phát triển VND,LNST chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư và phát triển VND,numeric__LNST chưa phân phối VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,3.861.369.020.000,25.866.057.484,53.916.437.884,366.945.954.144,4.308.097.469.512,3861369020000.0,25866057484.0,53916437884.0,366945954144.0,4308097469512.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,193.124.990.000,-,-,(193.124.990.000),-,193124990000.0,,,-193124990000.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,139.221.667.151,139.221.667.151,,,,139221667151.0,139221667151.0
Cổ tức cho cổ phiếu ưu đãi,Cổ tức cho cổ phiếu ưu đãi,Cổ tức cho cổ phiếu ưu đãi,-,-,-,(39.290.400.000),(39.290.400.000),,,,-39290400000.0,-39290400000.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(8.338.816.730),(8.338.816.730),,,,-8338816730.0,-8338816730.0
Chi phí phát hành cổ phiếu,Chi phí phát hành cổ phiếu,Chi phí phát hành cổ phiếu,-,(5.166.000.000),-,-,(5.166.000.000),,-5166000000.0,,,-5166000000.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,4.054.494.010.000,20.700.057.484,53.916.437.884,265.413.414.565,4.394.523.919.933,4054494010000.0,20700057484.0,53916437884.0,265413414565.0,4394523919933.0
Chia cổ tức bằng cổ phiếu (*),Chia cổ tức bằng cổ phiếu (*),Chia cổ tức bằng cổ phiếu (*),170.589.700.000,-,-,(170.589.700.000),-,170589700000.0,,,-170589700000.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,76.119.650.583,76.119.650.583,,,,76119650583.0,76119650583.0
Cổ tức cho cổ phiếu ưu đãi,Cổ tức cho cổ phiếu ưu đãi,Cổ tức cho cổ phiếu ưu đãi,-,-,-,(40.076.208.000),(40.076.208.000),,,,-40076208000.0,-40076208000.0
"Trích quỹ khen thưởng, phúc lợi (**) (Thuyết minh 20)","Trích quỹ khen thưởng, phúc lợi (**) (Thuyết minh 20)","Trích quỹ khen thưởng, phúc lợi (**) (Thuyết minh 20)",-,-,-,(3.805.982.529),(3.805.982.529),,,,-3805982529.0,-3805982529.0
"Sử dụng quỹ đầu tư, phát triển","Sử dụng quỹ đầu tư, phát triển","Sử dụng quỹ đầu tư, phát triển",-,-,(173.671.938),-,(173.671.938),,,-173671938.0,,-173671938.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,4.225.083.710.000,20.700.057.484,53.742.765.946,127.061.174.619,4.426.587.708.049,4225083710000.0,20700057484.0,53742765946.0,127061174619.0,4426587708049.0
