row_label_raw,row_label_full,Bà Lê Thị Việt Nga > Bà Phạm Thị Hồng Nhung > Bà Trần Thị Ngọc Bích > Bà Nguyễn Thị Thanh Hương,Chủ tịch HĐQT > Thành viên HĐQT,Bổ nhiệm ngày 29/4/2022,numeric__Chủ tịch HĐQT > Thành viên HĐQT,numeric__Bổ nhiệm ngày 29/4/2022
Bà Nguyễn Thị Lan Hương,Bà Nguyễn Thị Lan Hương,Bà Nguyễn Thị Lan Hương,Thành viên HĐQT,,,
Ông Mai Hữu Đạt,Ông Mai Hữu Đạt,Ông Mai Hữu Đạt,Chủ tịch HĐQT,Miễn nhiệm ngày 15/4/2022,,
Ông Nguyễn Thành Trung,Ông Nguyễn Thành Trung,Ông Nguyễn Thành Trung,Phó chủ tịch HĐQT,Miễn nhiệm ngày 15/4/2022,,
Bà Nguyễn Mai Phương,Bà Nguyễn Mai Phương,Bà Nguyễn Mai Phương,Thành viên HĐQT,Miễn nhiệm ngày 15/4/2022,,
Ông Bùi Anh Sang,Ông Bùi Anh Sang,Ông Bùi Anh Sang,Thành viên HĐQT,Miễn nhiệm ngày 18/4/2022,,
