row_label_raw,row_label_full,TÀI SẢN,Mã số,TM,31/12/2022,01/01/2022,numeric__Mã số,numeric__TM,numeric__31/12/2022,numeric__01/01/2022
,,,,,VND,VND,,,,
A/ TÀI SẢN NGĂN HẠN,A/ TÀI SẢN NGĂN HẠN,A/ TÀI SẢN NGĂN HẠN,100,,121.940.973.995,150.944.894.492,100.0,,121940973995.0,150944894492.0
I/ Tiền và các khoản tương đương tiền,I/ Tiền và các khoản tương đương tiền,I/ Tiền và các khoản tương đương tiền,110,5.1,28.624.299.444,24.284.829.857,110.0,51.0,28624299444.0,24284829857.0
1. Tiền,1. Tiền,1. Tiền,111,,1.086.730.985,18.834.829.857,111.0,,1086730985.0,18834829857.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,27.537.568.459,5.450.000.000,112.0,,27537568459.0,5450000000.0
II/ Đầu tư tài chính ngắn hạn,II/ Đầu tư tài chính ngắn hạn,II/ Đầu tư tài chính ngắn hạn,120,5.11,7.711.925.000,30.868.425.000,120.0,511.0,7711925000.0,30868425000.0
1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,121,,21.755.491.533,32.431.850.847,121.0,,21755491533.0,32431850847.0
2. Dự phòng giảm giá chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,122,,(14.043.566.533),(1.563.425.847),122.0,,-14043566533.0,-1563425847.0
III/ Các khoản phải thu ngắn hạn,III/ Các khoản phải thu ngắn hạn,III/ Các khoản phải thu ngắn hạn,130,,54.593.676.816,60.427.395.195,130.0,,54593676816.0,60427395195.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,5.2,18.475.277.754,18.183.570.507,131.0,52.0,18475277754.0,18183570507.0
