row_label_raw,row_label_full,col_0,Chương trình phần mềm VND,Tổng cộng VND,numeric__Chương trình phần mềm VND,numeric__Tổng cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,
Số dư tại 01/01/2022,NGUYÊN GIÁ > Số dư tại 01/01/2022,Số dư tại 01/01/2022,313.750.000,313.750.000,313750000.0,313750000.0
Số dư tại 31/12/2022,NGUYÊN GIÁ > Số dư tại 31/12/2022,Số dư tại 31/12/2022,313.750.000,313.750.000,313750000.0,313750000.0
GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,,
Số dư tại 01/01/2022,GIÁ TRỊ HAO MÒN > Số dư tại 01/01/2022,Số dư tại 01/01/2022,274.422.272,274.422.272,274422272.0,274422272.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN > Khấu hao trong năm,Khấu hao trong năm,32.583.336,32.583.336,32583336.0,32583336.0
Số dư tại 31/12/2022,GIÁ TRỊ HAO MÒN > Số dư tại 31/12/2022,Số dư tại 31/12/2022,307.005.608,307.005.608,307005608.0,307005608.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,
Số dư tại 01/01/2022,GIÁ TRỊ CÒN LẠI > Số dư tại 01/01/2022,Số dư tại 01/01/2022,39.327.728,39.327.728,39327728.0,39327728.0
Số dư tại 31/12/2022,GIÁ TRỊ CÒN LẠI > Số dư tại 31/12/2022,Số dư tại 31/12/2022,6.744.392,6.744.392,6744392.0,6744392.0
