row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Vốn khác của chủ sở hữu VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,LNST chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__LNST chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại 01/01/2021Lỗ trong năm trước,Số dư tại 01/01/2021Lỗ trong năm trước,Số dư tại 01/01/2021Lỗ trong năm trước,3.000.000.000.000-,1.286.825.482-,(10.000)-,99.871.176.744-,10.830.443.286-,(2.662.409.956.564)(74.236.999.148),449.578.478.948(74.236.999.148),,,,,,,
Số dư tại 31/12/2021,Số dư tại 01/01/2021Lỗ trong năm trước > Số dư tại 31/12/2021,Số dư tại 31/12/2021,3.000.000.000.000,1.286.825.482,(10.000),99.871.176.744,10.830.443.286,(2.736.646.955.712),375.341.479.800,3000000000000.0,1286825482.0,-10000.0,99871176744.0,10830443286.0,-2736646955712.0,375341479800.0
Số dư tại 01/01/2022Lãi trong năm nay,Số dư tại 01/01/2021Lỗ trong năm trước > Số dư tại 01/01/2022Lãi trong năm nay,Số dư tại 01/01/2022Lãi trong năm nay,3.000.000.000.000-,1.286.825.482-,(10.000)-,99.871.176.744-,10.830.443.286-,(2.736.646.955.712)23.462.167.779,375.341.479.80023.462.167.779,,,,,,,3.753414798002346e+22
Số dư tại 31/12/2022,Số dư tại 01/01/2021Lỗ trong năm trước > Số dư tại 31/12/2022,Số dư tại 31/12/2022,3.000.000.000.000,1.286.825.482,(10.000),99.871.176.744,10.830.443.286,(2.713.184.787.933),398.803.647.579,3000000000000.0,1286825482.0,-10000.0,99871176744.0,10830443286.0,-2713184787933.0,398803647579.0
