row_label_raw,row_label_full,Doanh thu bán hàng và cung cấp dịch vụ,Năm 2022VND,Năm 2021VND,numeric__Năm 2022VND,numeric__Năm 2021VND
"Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ",-,444.176.819,,444176819.0
Công ty Cổ phần Bánh Givral,Công ty Cổ phần Bánh Givral,Công ty Cổ phần Bánh Givral,-,444.176.819,,444176819.0
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,2.333.217.210,2.520.322.738,2333217210.0,2520322738.0
Công ty Cổ phần Bánh Givral(doanh thu cho thuê văn phòng phân bổ trong năm),Công ty Cổ phần Bánh Givral(doanh thu cho thuê văn phòng phân bổ trong năm),Công ty Cổ phần Bánh Givral(doanh thu cho thuê văn phòng phân bổ trong năm),1.525.987.092,1.525.987.092,1525987092.0,1525987092.0
Công ty Cổ phần Bánh Givral (doanh thu khác),Công ty Cổ phần Bánh Givral (doanh thu khác),Công ty Cổ phần Bánh Givral (doanh thu khác),807.230.118,994.335.646,807230118.0,994335646.0
Lãi vay phải trả,Lãi vay phải trả,Lãi vay phải trả,2.640.754.703,3.521.006.271,2640754703.0,3521006271.0
Công ty Cổ phần Viptour - Togi,Công ty Cổ phần Viptour - Togi,Công ty Cổ phần Viptour - Togi,2.640.754.703,3.521.006.271,2640754703.0,3521006271.0
