row_label_raw,row_label_full,col_0,Dự phòng trợ cấp thời việc VND,numeric__Dự phòng trợ cấp thời việc VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,36.097.545.099,36097545099.0
Tăng dự phòng trong năm,Tăng dự phòng trong năm,Tăng dự phòng trong năm,4.132.259.803,4132259803.0
Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,(6.904.254.916),-6904254916.0
Hoàn nhập,Hoàn nhập,Hoàn nhập,(1.411.605.170),-1411605170.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,31.913.944.816,31913944816.0
