row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Phần mềmvi tínhVND,Thương hiệuVND,Mối quan hệkhách hàngVND,Kỹ thuậtVND,TổngVND,numeric__Quyềnsử dụng đấtVND,numeric__Phần mềmvi tínhVND,numeric__Thương hiệuVND,numeric__Mối quan hệkhách hàngVND,numeric__Kỹ thuậtVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,261.876.835.899,58.534.657.416,1.615.000.000.000,2.413.100.000.000,566.000.000.000,4.914.511.493.315,261876835899.0,58534657416.0,1615000000000.0,2413100000000.0,566000000000.0,4914511493315.0
Chuyển từ chi phí xây dựng cơ bandở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bandở dang,Chuyển từ chi phí xây dựng cơ bandở dang,-,219.000.000,-,-,-,219.000.000,,219000000.0,,,,219000000.0
Chuyển sang chi phí trả trước dài hạn,Nguyên giá > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(54.465.326.883),-,-,-,-,(54.465.326.883),-54465326883.0,,,,,-54465326883.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,207.411.509.016,58.753.657.416,1.615.000.000.000,2.413.100.000.000,566.000.000.000,4.860.265.166.432,207411509016.0,58753657416.0,1615000000000.0,2413100000000.0,566000000000.0,4860265166432.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,16.260.574.271,4.922.810.812,239.275.000.002,365.626.249.998,323.150.000.013,949.234.635.096,16260574271.0,4922810812.0,239275000002.0,365626249998.0,323150000013.0,949234635096.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,6.988.837.757,8.437.574.090,80.750.000.007,120.654.999.987,113.200.000.012,330.031.411.853,6988837757.0,8437574090.0,80750000007.0,120654999987.0,113200000012.0,330031411853.0
Chuyển sang chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(1.027.647.676),-,-,-,-,(1.027.647.676),-1027647676.0,,,,,-1027647676.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,22.221.764.352,13.360.384.902,320.025.000.009,486.281.249.985,436.350.000.025,1.278.238.399.273,22221764352.0,13360384902.0,320025000009.0,486281249985.0,436350000025.0,1278238399273.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,245.616.261.628,53.611.846.604,1.375.724.999.998,2.047.473.750.002,242.849.999.987,3.965.276.858.219,245616261628.0,53611846604.0,1375724999998.0,2047473750002.0,242849999987.0,3965276858219.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,185.189.744.664,45.393.272.514,1.294.974.999.991,1.926.818.750.015,129.649.999.975,3.582.026.767.159,185189744664.0,45393272514.0,1294974999991.0,1926818750015.0,129649999975.0,3582026767159.0
