row_label_raw,row_label_full,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính),numeric__col_1,numeric__col_2,numeric__col_3,numeric__col_4,numeric__col_5,numeric__col_6,numeric__col_7,numeric__col_8,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)
,,,,,Vissan VND,Thuận Phát VND,Abattoir VND,Donatraco VND,Tổng VND,,,,,,,,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,2.135.490.172.000,9.719.624.261,7.252.011.560,9.375.041.304,2.161.836.849.125,,,,,2135490172000.0,9719624261.0,7252011560.0,9375041304.0,2161836849125.0,,
Phần lãi/(lỗ) phát sinh sau ngày mua được chia từ các công ty liên kết,Phần lãi/(lỗ) phát sinh sau ngày mua được chia từ các công ty liên kết,Phần lãi/(lỗ) phát sinh sau ngày mua được chia từ các công ty liên kết,Phần lãi/(lỗ) phát sinh sau ngày mua được chia từ các công ty liên kết,Phần lãi/(lỗ) phát sinh sau ngày mua được chia từ các công ty liên kết,14.126.018.200(14.126.018.200),(1.826.906.688)-,100.125.037(600.000.000),1.597.097.705(270.554.400),13.996.334.254(14.996.572.600),,,,,,,,,,,
Cổ tức,Cổ tức,Cổ tức,Cổ tức,Cổ tức,14.126.018.200(14.126.018.200),(1.826.906.688)-,100.125.037(600.000.000),1.597.097.705(270.554.400),13.996.334.254(14.996.572.600),,,,,,,,,,,
Số dư cuối năm,Cổ tức > Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,2.135.490.172.000,7.892.717.573,6.752.136.597,10.701.584.609,2.160.836.610.779,,,,,2135490172000.0,7892717573.0,6752136597.0,10701584609.0,2160836610779.0,,
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,,,,,,,,,
,,,,,31/12/2018,31/12/2018,31/12/2018,1/1/2018,1/1/2018,1/1/2018,,,,,,,,,,
,,,,,% quyền biểu quyết,Giá trị ghi sổ VND,Dự phòng VND,Số lượng cổ phiếu,% sờ hữu,% quyền biểu quyết,Giá trị ghi sổ VND,,,,,,,,,
,,,,,% quyền biểu quyết,Giá trị ghi sổ VND,Dự phòng VND,Số lượng cổ phiếu,% sờ hữu,% quyền biểu quyết,Giá trị ghi sổ VND,,,,,,,,,
,,,,,% quyền biểu quyết,Giá trị ghi sổ VND,Dự phòng VND,Số lượng cổ phiếu,% sờ hữu,% quyền biểu quyết,Giá trị ghi sổ VND,,,,,,,,,
,,,,,% quyền biểu quyết,Giá trị ghi sổ VND,Dự phòng VND,Số lượng cổ phiếu,% sờ hữu,% quyền biểu quyết,Giá trị ghi sổ VND,,,,,,,,,
,,,,,% quyền biểu quyết,Giá trị ghi sổ VND,Dự phòng VND,Số lượng cổ phiếu,% sờ hữu,% quyền biểu quyết,Giá trị ghi sổ VND,,,,,,,,,
,,,,,% quyền biểu quyết,Giá trị ghi sổ VND,Dự phòng VND,Số lượng cổ phiếu,% sờ hữu,% quyền biểu quyết,Giá trị ghi sổ VND,,,,,,,,,
,,,,,% quyền biểu quyết,Giá trị ghi sổ VND,Dự phòng VND,Số lượng cổ phiếu,% sờ hữu,% quyền biểu quyết,Giá trị ghi sổ VND,,,,,,,,,
Công ty PTSC Cảng Đình Vũ,Đầu tư góp vốn vào đơn vị khác > Công ty PTSC Cảng Đình Vũ,Công ty PTSC Cảng Đình Vũ,2.164.600,"5,41%","5,41%",21.646.000.000,(8.441.940.000),2.164.600,"5,41%","5,41%",21.646.000.000,2164600.0,0.0541,0.0541,21646000000.0,-8441940000.0,2164600.0,0.0541,0.0541,21646000000.0
