row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.147.696.070.261,1.071.413.429.295,77.113.978.096,27.358.846.835,2.323.582.324.487,1147696070261.0,1071413429295.0,77113978096.0,27358846835.0,2323582324487.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,13.429.601.650,27.830.481.762,2.697.300.000,1.239.720.465,45.197.103.877,13429601650.0,27830481762.0,2697300000.0,1239720465.0,45197103877.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,768.172.425.808,292.963.326.577,1.782.090.694,2.323.811.527,1.065.241.654.606,768172425808.0,292963326577.0,1782090694.0,2323811527.0,1065241654606.0
Chuyển sang chi phí trả trước dài hạn,Nguyên giá > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(853.398.489),-,-,-,(853.398.489),-853398489.0,,,,-853398489.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(6.216.912.005),(10.063.639.302),-,(16.280.551.307),,-6216912005.0,-10063639302.0,,-16280551307.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(178.447.520),-,(745.675.000),(288.907.852),(1.213.030.372),-178447520.0,,-745675000.0,-288907852.0,-1213030372.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(1.346.813.502),1.346.813.502,-,-,-,-1346813502.0,1346813502.0,,,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.926.919.438.208,1.387.337.139.131,70.784.054.488,30.633.470.975,3.415.674.102.802,1926919438208.0,1387337139131.0,70784054488.0,30633470975.0,3415674102802.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,226.000.773.237,343.128.575.889,29.039.898.862,6.069.884.174,604.239.132.162,226000773237.0,343128575889.0,29039898862.0,6069884174.0,604239132162.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,108.182.544.436,162.715.270.924,14.780.777.775,4.059.304.476,289.737.897.611,108182544436.0,162715270924.0,14780777775.0,4059304476.0,289737897611.0
Chuyển sang chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(102.566.647),-,-,-,(102.566.647),-102566647.0,,,,-102566647.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(4.818.005.165),(9.019.948.867),-,(13.837.954.032),,-4818005165.0,-9019948867.0,,-13837954032.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,(178.447.520),-,(745.675.000),(288.907.852),(1.213.030.372),-178447520.0,,-745675000.0,-288907852.0,-1213030372.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(162.396.450),162.396.450,-,-,-,-162396450.0,162396450.0,,,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,333.739.907.056,501.188.238.098,34.055.052.770,9.840.280.798,878.823.478.722,333739907056.0,501188238098.0,34055052770.0,9840280798.0,878823478722.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,921.695.297.024,728.284.853.406,48.074.079.234,21.288.962.661,1.719.343.192.325,921695297024.0,728284853406.0,48074079234.0,21288962661.0,1719343192325.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.593.179.531.152,886.148.901.033,36.729.001.718,20.793.190.177,2.536.850.624.080,1593179531152.0,886148901033.0,36729001718.0,20793190177.0,2536850624080.0
