row_label_raw,row_label_full,col_0,Chi phí đấttrả trướcVND,Công cụ vàdụng cụVND,Chi phíkhácVND,TổngVND,numeric__Chi phí đấttrả trướcVND,numeric__Công cụ vàdụng cụVND,numeric__Chi phíkhácVND,numeric__TổngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,264.954.491.544,34.751.735.378,14.582.489.929,314.288.716.851,264954491544.0,34751735378.0,14582489929.0,314288716851.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,103.055.060,8.276.733.005,77.131.060.159,85.510.848.224,103055060.0,8276733005.0,77131060159.0,85510848224.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,-,4.327.593.889,19.079.097.080,23.406.690.969,,4327593889.0,19079097080.0,23406690969.0
Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,-,750.831.842,750.831.842,,,750831842.0,750831842.0
Chuyển từ tài sản cố định vô hình,Chuyển từ tài sản cố định vô hình,Chuyển từ tài sản cố định vô hình,53.437.679.207,-,-,53.437.679.207,53437679207.0,,,53437679207.0
Chuyển từ chi phí trả trước ngắn hạn,Chuyển từ chi phí trả trước ngắn hạn,Chuyển từ chi phí trả trước ngắn hạn,-,34.600.000,-,34.600.000,,34600000.0,,34600000.0
Phân loại lại,Phân loại lại,Phân loại lại,23.223.752,1.015.077.312,(1.038.301.064),-,23223752.0,1015077312.0,-1038301064.0,
Xóa số,Xóa số,Xóa số,-,(18.105.000),-,(18.105.000),,-18105000.0,,-18105000.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(5.783.159.078),(30.814.750.454),(20.824.453.343),(57.422.362.875),-5783159078.0,-30814750454.0,-20824453343.0,-57422362875.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,312.735.290.485,17.572.884.130,89.680.724.603,419.988.899.218,312735290485.0,17572884130.0,89680724603.0,419988899218.0
