row_label_raw,row_label_full,col_0,Ghi nhận giá trị hợp lý thống qua kết quả hoạt động kinh doanhTriệu đồng,Giữ đến ngày đáo hạnTriệu đồng,Cho vay và phải thuTriệu đồng,Sản sàng để bánTriệu đồng,Tài sản và nợ khác hạch toán theo giá trị phân bổTriệu đồng,Tổng cộng giá trị ghi sốTriệu đồng,Giá trị hợp lýTriệu đồng,numeric__Ghi nhận giá trị hợp lý thống qua kết quả hoạt động kinh doanhTriệu đồng,numeric__Giữ đến ngày đáo hạnTriệu đồng,numeric__Cho vay và phải thuTriệu đồng,numeric__Sản sàng để bánTriệu đồng,numeric__Tài sản và nợ khác hạch toán theo giá trị phân bổTriệu đồng,numeric__Tổng cộng giá trị ghi sốTriệu đồng,numeric__Giá trị hợp lýTriệu đồng
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,2.574.284,-,-,2.574.284,2.574.284,,,2574284.0,,,2574284.0,2574284.0
Tiền gửi tại N-INN,Tiền gửi tại N-INN,Tiền gửi tại N-INN,-,-,5.880.062,-,-,5.880.062,(*),,,5880062.0,,,5880062.0,
Tiền gửi và cho vay các TCTD khác – gộp,Tiền gửi và cho vay các TCTD khác – gộp,Tiền gửi và cho vay các TCTD khác – gộp,-,-,16.818.059,-,-,16.818.059,(*),,,16818059.0,,,16818059.0,
Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,1.424.854,-,-,-,-,1.424.854,(*),1424854.0,,,,,1424854.0,
Cho vay khác hàng – gộp,Cho vay khác hàng – gộp,Cho vay khác hàng – gộp,-,-,137.869.199,-,-,137.869.199,(*),,,137869199.0,,,137869199.0,
Chứng khoán đầu tư sẵn sàng để bán – gộp,Chứng khoán đầu tư sẵn sàng để bán – gộp,Chứng khoán đầu tư sẵn sàng để bán – gộp,-,-,-,50.384.788,-,50.384.788,(*),,,,50384788.0,,50384788.0,
Chứng khoán đầu tư giữ đến ngày đáo hạn – gộp,Chứng khoán đầu tư giữ đến ngày đáo hạn – gộp,Chứng khoán đầu tư giữ đến ngày đáo hạn – gộp,-,4.048.438,-,-,-,4.048.438,(*),,4048438.0,,,,4048438.0,
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,-,10.014.152,194.603,-,10.206.755,(*),,,10014152.0,194603.0,,10206755.0,
,,,1.424.854,4.048.438,173.155.756,50.579.391,-,229.208.439,(*),1424854.0,4048438.0,173155756.0,50579391.0,,229208439.0,
Các khoản nợ NHNN,Các khoản nợ NHNN,Các khoản nợ NHNN,-,-,-,-,26.015,26.015,(*),,,,,26015.0,26015.0,
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,-,26.640.222,26.640.222,(*),,,,,26640222.0,26640222.0,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,129.056.826,129.056.826,(*),,,,,129056826.0,129056826.0,
Công cụ tài chính phải sinh và tài sản tài chính khác,Công cụ tài chính phải sinh và tài sản tài chính khác,Công cụ tài chính phải sinh và tài sản tài chính khác,68.132,-,-,-,-,68.132,(*),68132.0,,,,,68132.0,
"Vốn tài trợ, ủy thác đầu tư tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư tổ chức tín dụng chịu rủi ro",-,-,-,-,3.899.364,3.899.364,(*),,,,,3899364.0,3899364.0,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,41.261.057,41.261.057,(*),,,,,41261057.0,41261057.0,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,6.157.909,6.157.909,(*),,,,,6157909.0,6157909.0,
,,,68.132,-,-,-,207.041.393,207.109.525,(*),68132.0,,,,207041393.0,207109525.0,
