row_label_raw,row_label_full,col_0,Chưa quá hạnTriệu đồng,Đã quá hạn và chưa bị giảm giáTriệu đồng,Đã quá hạn và đã trích lập dự phòngTriệu đồng,Tổng cộngTriệu đồng,numeric__Chưa quá hạnTriệu đồng,numeric__Đã quá hạn và chưa bị giảm giáTriệu đồng,numeric__Đã quá hạn và đã trích lập dự phòngTriệu đồng,numeric__Tổng cộngTriệu đồng
Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,16.817.328,-,731,16.818.059,16817328.0,,731.0,16818059.0
- Tiền gửi tại TCTD khác,- Tiền gửi tại TCTD khác,- Tiền gửi tại TCTD khác,14.516.023,-,-,14.516.023,14516023.0,,,14516023.0
- Cho vay các TCTD khác,- Cho vay các TCTD khác,- Cho vay các TCTD khác,2.301.305,-,731,2.302.036,2301305.0,,731.0,2302036.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,1.424.854,-,-,1.424.854,1424854.0,,,1424854.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,135.328.320,1.071.439,1.469.440,137.869.199,135328320.0,1071439.0,1469440.0,137869199.0
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,54.433.226,-,-,54.433.226,54433226.0,,,54433226.0
- Chứng khoán đầu tư sẵn sàng để bán,- Chứng khoán đầu tư sẵn sàng để bán,- Chứng khoán đầu tư sẵn sàng để bán,50.384.788,-,-,50.384.788,50384788.0,,,50384788.0
- Chứng khoán đầu tư giữ đến ngày đáo hạn,- Chứng khoán đầu tư giữ đến ngày đáo hạn,- Chứng khoán đầu tư giữ đến ngày đáo hạn,4.048.438,-,-,4.048.438,4048438.0,,,4048438.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,12.553.505,-,61.891,12.615.396,12553505.0,,61891.0,12615396.0
Tổng cộng,Tổng cộng,Tổng cộng,220.557.233,1.071.439,1.532.062,223.160.734,220557233.0,1071439.0,1532062.0,223160734.0
