row_label_raw,row_label_full,Phải trả về nghiệp vụ thư tín dụng trả chậm(Thuyết minh số 15.1),Ngày 31 tháng 12năm 2017Triệu đồng > 5.148.955,Ngày 31 tháng 12năm 2016Triệu đồng > 2.956.761,numeric__Ngày 31 tháng 12năm 2017Triệu đồng > 5.148.955,numeric__Ngày 31 tháng 12năm 2016Triệu đồng > 2.956.761
Vay các TCTD khác,Vay các TCTD khác,Vay các TCTD khác,13.089.943,9.102.897,13089943.0,9102897.0
Bằng VND,Bằng VND,Bằng VND,6.979.966,6.859.121,6979966.0,6859121.0
Trong đó:Vay chiết khấu giấy tờ có giá bằng VND,Trong đó:Vay chiết khấu giấy tờ có giá bằng VND,Trong đó:Vay chiết khấu giấy tờ có giá bằng VND,5.725.231,5.085.556,5725231.0,5085556.0
Bằng ngoại tệ,Bằng ngoại tệ,Bằng ngoại tệ,6.109.977,2.243.776,6109977.0,2243776.0
,,,18.238.898,12.059.658,18238898.0,12059658.0
