row_label_raw,row_label_full,col_0,2017Triệu đồng,2016Triệu đồng,numeric__2017Triệu đồng,numeric__2016Triệu đồng
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,2.348.305,1.034.429,2348305.0,1034429.0
Thu từ các công cụ tài chính phải sinh khác,Thu từ các công cụ tài chính phải sinh khác,Thu từ các công cụ tài chính phải sinh khác,58.180,11,58180.0,11.0
Thu từ nợ đã xử lý rủi ro,Thu từ nợ đã xử lý rủi ro,Thu từ nợ đã xử lý rủi ro,287.431,367.702,287431.0,367702.0
Thu nhập từ thanh lý tài sản cố định,Thu nhập từ thanh lý tài sản cố định,Thu nhập từ thanh lý tài sản cố định,224.364,26.645,224364.0,26645.0
Thu nhập từ thanh lý tài sản khác,Thu nhập từ thanh lý tài sản khác,Thu nhập từ thanh lý tài sản khác,537.925,143.430,537925.0,143430.0
Thu từ hoạt động mua bán nợ,Thu từ hoạt động mua bán nợ,Thu từ hoạt động mua bán nợ,289.056,460.893,289056.0,460893.0
Thu nhận hỗ trợ và thu nhập khác,Thu nhận hỗ trợ và thu nhập khác,Thu nhận hỗ trợ và thu nhập khác,951.349,35.748,951349.0,35748.0
Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,(623.642),(192.337),-623642.0,-192337.0
Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,(61.262),(3.647),-61262.0,-3647.0
Chi từ thanh lý tài sản khác,Chi từ thanh lý tài sản khác,Chi từ thanh lý tài sản khác,(545.250),(142.187),-545250.0,-142187.0
Chi khác,Chi khác,Chi khác,(17.130),(46.503),-17130.0,-46503.0
,,,1.724.663,842.092,1724663.0,842092.0
