row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2017Triệu đồng,%,Ngày 31 tháng 12năm 2016Triệu đồng(Trình bày lại),%_1,numeric__Ngày 31 tháng 12năm 2017Triệu đồng,numeric__%,numeric__Ngày 31 tháng 12năm 2016Triệu đồng(Trình bày lại),numeric__%_1
"Nông nghiệp, lâm nghiệp vàthủy sản","Nông nghiệp, lâm nghiệp vàthủy sản","Nông nghiệp, lâm nghiệp vàthủy sản",3.538.605,"2,57",1.045.660,"0,93",3538605.0,2.57,1045660.0,0.93
Khai khoáng,Khai khoáng,Khai khoáng,268.934,"0,20",168.178,"0,15",268934.0,0.2,168178.0,0.15
"Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",12.141.713,"8,81",8.412.917,"7,47",12141713.0,8.81,8412917.0,7.47
"Sản xuất và phân phối điện, khídốt, nước nóng, hơi nước và điềuhoà không khí","Sản xuất và phân phối điện, khídốt, nước nóng, hơi nước và điềuhoà không khí","Sản xuất và phân phối điện, khídốt, nước nóng, hơi nước và điềuhoà không khí",2.171.806,"1,58",2.273.026,"2,02",2171806.0,1.58,2273026.0,2.02
"Cung cấp nước; hoạt động quảnlý và xử lý rác thải, nước thải","Cung cấp nước; hoạt động quảnlý và xử lý rác thải, nước thải","Cung cấp nước; hoạt động quảnlý và xử lý rác thải, nước thải",227.500,"0,17",395.533,"0,35",227500.0,0.17,395533.0,0.35
Xây dựng,Xây dựng,Xây dựng,8.333.164,"6,04",5.012.167,"4,45",8333164.0,6.04,5012167.0,4.45
"Bán buôn và bán lẻ; sửa chữa ôtô, mô tô, xe máy và xe có độngcơ khác","Bán buôn và bán lẻ; sửa chữa ôtô, mô tô, xe máy và xe có độngcơ khác","Bán buôn và bán lẻ; sửa chữa ôtô, mô tô, xe máy và xe có độngcơ khác",22.300.670,"16,18",7.813.290,"6,94",22300670.0,16.18,7813290.0,6.94
Vận tải kho bãi,Vận tải kho bãi,Vận tải kho bãi,9.381.099,"6,80",10.046.085,"8,92",9381099.0,6.8,10046085.0,8.92
Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,4.235.161,"3,07",3.272.257,"2,91",4235161.0,3.07,3272257.0,2.91
Thông tin và truyền thống,Thông tin và truyền thống,Thông tin và truyền thống,460.972,"0,33",435.139,"0,39",460972.0,0.33,435139.0,0.39
"Hoạt động tài chính, ngân hàngvà bảo hiểm","Hoạt động tài chính, ngân hàngvà bảo hiểm","Hoạt động tài chính, ngân hàngvà bảo hiểm",1.911.085,"1,39",2.793.831,"2,48",1911085.0,1.39,2793831.0,2.48
Hoạt động kinh doanh bất độngsản,Hoạt động kinh doanh bất độngsản,Hoạt động kinh doanh bất độngsản,15.553.631,"11,28",16.946.370,"15,05",15553631.0,11.28,16946370.0,15.05
"Hoạt động chuyên môn, khoa họcvà công nghệ","Hoạt động chuyên môn, khoa họcvà công nghệ","Hoạt động chuyên môn, khoa họcvà công nghệ",255.577,"0,18",268.448,"0,24",255577.0,0.18,268448.0,0.24
Hoạt động hành chính và dịch vụhỗ trợ,Hoạt động hành chính và dịch vụhỗ trợ,Hoạt động hành chính và dịch vụhỗ trợ,1.225.731,"0,89",432.055,"0,38",1225731.0,0.89,432055.0,0.38
"Hoạt động của Đảng cộng sản, tổchức chính trị - xã hội, quản lýNhà nước, an ninh quốc phòng;bảo đảm xã hội bắt buộc","Hoạt động của Đảng cộng sản, tổchức chính trị - xã hội, quản lýNhà nước, an ninh quốc phòng;bảo đảm xã hội bắt buộc","Hoạt động của Đảng cộng sản, tổchức chính trị - xã hội, quản lýNhà nước, an ninh quốc phòng;bảo đảm xã hội bắt buộc",40.051,"0,03",-,-,40051.0,0.03,,
Giáo dục và đào tạo,Giáo dục và đào tạo,Giáo dục và đào tạo,338.584,"0,24",212.721,"0,19",338584.0,0.24,212721.0,0.19
Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,389.020,"0,28",26.663,"0,02",389020.0,0.28,26663.0,0.02
"Nghệ thuật, vui chơi và giải trí","Nghệ thuật, vui chơi và giải trí","Nghệ thuật, vui chơi và giải trí",275.179,"0,20",434.654,"0,39",275179.0,0.2,434654.0,0.39
Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,1.541.832,"1,12",288.375,"0,26",1541832.0,1.12,288375.0,0.26
"Hoạt động làm thuê các công việctrong hộ gia đình, sản xuất sảnphẩm vật chất và dịch vụ tự tiểudùng của hộ gia đình","Hoạt động làm thuê các công việctrong hộ gia đình, sản xuất sảnphẩm vật chất và dịch vụ tự tiểudùng của hộ gia đình","Hoạt động làm thuê các công việctrong hộ gia đình, sản xuất sảnphẩm vật chất và dịch vụ tự tiểudùng của hộ gia đình",53.179.760,"38,57",52.290.945,"46,46",53179760.0,38.57,52290945.0,46.46
Hoạt động của các tổ chức và cơquan quốc tế,Hoạt động của các tổ chức và cơquan quốc tế,Hoạt động của các tổ chức và cơquan quốc tế,99.125,"0,07",-,-,99125.0,0.07,,
,,,137.869.199,100,112.568.314,100,137869199.0,100.0,112568314.0,100.0
