row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2017Triệu đồng,Ngày 31 tháng 12 năm 2016Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2017Triệu đồng,numeric__Ngày 31 tháng 12 năm 2016Triệu đồng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mặt, vàng bạc, đá quý","TÀI SẢN > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5,2.574.284,1.727.361,5.0,2574284.0,1727361.0
Tiền gửi tại Ngân hàng Nhà nước Việt Nam,TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,6,5.880.062,2.573.221,6.0,5880062.0,2573221.0
Tiền gửi và cho vay các tổ chức tín dụng khác,TÀI SẢN > Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,7,16.817.328,11.268.348,7.0,16817328.0,11268348.0
Tiền gửi tại các TCTD khác,TÀI SẢN > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,7.1,14.516.023,5.968.619,71.0,14516023.0,5968619.0
Cho vay các TCTD khác,TÀI SẢN > Cho vay các TCTD khác,Cho vay các TCTD khác,7.2,2.302.036,5.300.460,72.0,2302036.0,5300460.0
Dự phòng rủi ro,TÀI SẢN > Dự phòng rủi ro,Dự phòng rủi ro,,(731),(731),,-731.0,-731.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,8,1.424.854,2.952.206,8.0,1424854.0,2952206.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,,1.424.854,2.953.769,,1424854.0,2953769.0
Dự phòng rủi ro chứng khoán kinh doanh,TÀI SẢN > Dự phòng rủi ro chứng khoán kinh doanh,Dự phòng rủi ro chứng khoán kinh doanh,,-,(1.563),,,-1563.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,,135.785.640,111.251.690,,135785640.0,111251690.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,10,137.869.199,112.568.314,10.0,137869199.0,112568314.0
