row_label_raw,row_label_full,Ngày 31 tháng 12năm 2016đã trình bày trước đảyTriệu đồng,%,Phân loại lạiTriệu đồng,%_1,Ngày 31 tháng 12năm 2016trình bày lạiTriệu đồng,%_2,numeric__%,numeric__Phân loại lạiTriệu đồng,numeric__%_1,numeric__Ngày 31 tháng 12năm 2016trình bày lạiTriệu đồng,numeric__%_2
2.498.851,2.498.851,2.498.851,"2,22",(1.453.191),"(1,29)",1.045.660,"0,93",2.22,-1453191.0,-1.29,1045660.0,0.93
290.298,290.298,290.298,"0,26",(122.120),"(0,11)",168.178,"0,15",0.26,-122120.0,-0.11,168178.0,0.15
16.637.628,16.637.628,16.637.628,"14,79",(8.224.711),"(7,32)",8.412.917,"7,47",14.79,-8224711.0,-7.32,8412917.0,7.47
2.479.019,2.479.019,2.479.019,"2,20",(205.993),"(0,18)",2.273.026,"2,02",2.2,-205993.0,-0.18,2273026.0,2.02
562.659,562.659,562.659,"0,50",(167.126),"(0,15)",395.533,"0,35",0.5,-167126.0,-0.15,395533.0,0.35
6.035.306,6.035.306,6.035.306,"5,36",(1.023.139),"(0,91)",5.012.167,"4,45",5.36,-1023139.0,-0.91,5012167.0,4.45
11.228.534,11.228.534,11.228.534,"9,98",(3.415.244),"(3,04)",7.813.290,"6,94",9.98,-3415244.0,-3.04,7813290.0,6.94
3.427.557,3.427.557,3.427.557,"3,04",6.618.528,"5,88",10.046.085,"8,92",3.04,6618528.0,5.88,10046085.0,8.92
3.258.575,3.258.575,3.258.575,"2,89",13.682,"0,02",3.272.257,"2,91",2.89,13682.0,0.02,3272257.0,2.91
562.148,562.148,562.148,"0,50",(127.009),"(0,11)",435.139,"0,39",0.5,-127009.0,-0.11,435139.0,0.39
5.540.253,5.540.253,5.540.253,"4,92",(2.746.422),"(2,44)",2.793.831,"2,48",4.92,-2746422.0,-2.44,2793831.0,2.48
17.794.732,17.794.732,17.794.732,"15,81",(848.362),"(0,75)",16.946.370,"15,05",15.81,-848362.0,-0.75,16946370.0,15.05
962.987,962.987,962.987,"0,86",(694.539),"(0,62)",268.448,"0,24",0.86,-694539.0,-0.62,268448.0,0.24
1.838.986,1.838.986,1.838.986,"1,63",(1.406.931),"(1,25)",432.055,"0,38",1.63,-1406931.0,-1.25,432055.0,0.38
206.364,206.364,206.364,"0,18",(206.364),"(0,18)",-,-,0.18,-206364.0,-0.18,,
700.782,700.782,700.782,"0,62",(488.061),"(0,43)",212.721,"0,19",0.62,-488061.0,-0.43,212721.0,0.19
228.241,228.241,228.241,"0,20",(201.578),"(0,16)",26.663,"0,02",0.2,-201578.0,-0.16,26663.0,0.02
633.031,633.031,633.031,"0,56",(198.377),"(0,17)",434.654,"0,39",0.56,-198377.0,-0.17,434654.0,0.39
8.565.281,8.565.281,8.565.281,"7,61",(8.276.906),"(7,35)",288.375,"0,26",7.61,-8276906.0,-7.35,288375.0,0.26
29.081.401,29.081.401,29.081.401,"25,84",23.209.544,"20,62",52.290.945,"46,46",25.84,23209544.0,20.62,52290945.0,46.46
35.681,35.681,35.681,"0,03",(35.681),"(0,03)",-,-,0.03,-35681.0,-0.03,,
112.568.314,112.568.314,112.568.314,100,-,-,*12.568.314,100,100.0,,,,100.0
