row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2017Triệu đồng,Ngày 31 tháng 12năm 2016Triệu đồng,numeric__Ngày 31 tháng 12năm 2017Triệu đồng,numeric__Ngày 31 tháng 12năm 2016Triệu đồng
Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,571.261,265.175,571261.0,265175.0
Phải trả nhân viên,Phải trả nhân viên,Phải trả nhân viên,571.261,265.175,571261.0,265175.0
Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,2.702.582,2.195.897,2702582.0,2195897.0
Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,15.362,21.850,15362.0,21850.0
Các khoản treo chờ chuyển tiền,Các khoản treo chờ chuyển tiền,Các khoản treo chờ chuyển tiền,243.341,123.887,243341.0,123887.0
Thuế và các khoản phải trả ngân sách,Thuế và các khoản phải trả ngân sách,Thuế và các khoản phải trả ngân sách,,,,
Nhà nước (Thuyết minh số 22),Thuế và các khoản phải trả ngân sách > Nhà nước (Thuyết minh số 22),Nhà nước (Thuyết minh số 22),455.701,354.456,455701.0,354456.0
Phải trả liên quan đến các hợp đồng mua bán lại giấy tờ có giá,Thuế và các khoản phải trả ngân sách > Phải trả liên quan đến các hợp đồng mua bán lại giấy tờ có giá,Phải trả liên quan đến các hợp đồng mua bán lại giấy tờ có giá,1.292.844,1.264.344,1292844.0,1264344.0
Các khoản phải trả khác,Thuế và các khoản phải trả ngân sách > Các khoản phải trả khác,Các khoản phải trả khác,695.334,431.360,695334.0,431360.0
,,,3.273.843,2.461.072,3273843.0,2461072.0
