row_label_raw,row_label_full,col_0,Quá hạnTriệu đồng,Khôngchịu lãiTriệu đồng,Đến 1thángTriệu đồng,Từ 1 - 3thángTriệu đồng,Từ 3 - 6thángTriệu đồng,Từ 6 - 12thángTriệu đồng,Từ 1 - 5 nămTriệu đồng,Trên 5nămTriệu đồng,Tổng cộngTriệu đồng,numeric__Quá hạnTriệu đồng,numeric__Khôngchịu lãiTriệu đồng,numeric__Đến 1thángTriệu đồng,numeric__Từ 1 - 3thángTriệu đồng,numeric__Từ 3 - 6thángTriệu đồng,numeric__Từ 6 - 12thángTriệu đồng,numeric__Từ 1 - 5 nămTriệu đồng,numeric__Trên 5nămTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,2.574.284,-,-,-,-,-,-,2.574.284,,2574284.0,,,,,,,2574284.0
Tiền gửi tại NHNN – explosive,Tài sản > Tiền gửi tại NHNN – explosive,Tiền gửi tại NHNN – explosive,-,-,5.880.062,-,-,-,-,-,5.880.062,,,5880062.0,,,,,,5880062.0
Tiền gửi và cho vay các TCTD khác – gộp,Tài sản > Tiền gửi và cho vay các TCTD khác – gộp,Tiền gửi và cho vay các TCTD khác – gộp,731,-,12.132.726,4.684.602,-,-,-,-,16.818.059,731.0,,12132726.0,4684602.0,,,,,16818059.0
Chứng khoán kinh doanh – gộp,Tài sản > Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,-,-,1.424.854,-,-,-,-,-,1.424.854,,,1424854.0,,,,,,1424854.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,2.540.879,-,78.902.714,23.064.566,15.634.196,10.250.298,7.406.988,69.558,137.869.199,2540879.0,,78902714.0,23064566.0,15634196.0,10250298.0,7406988.0,69558.0,137869199.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,4.063.794,4.905.000,7.247.976,2.521.964,11.689.997,17.281.336,6.723.159,54.433.226,,4063794.0,4905000.0,7247976.0,2521964.0,11689997.0,17281336.0,6723159.0,54433226.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,5.007.637,-,-,-,-,-,-,5.007.637,,5007637.0,,,,,,,5007637.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,564.446,-,-,-,-,-,-,564.446,,564446.0,,,,,,,564446.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,61.891,7.404.550,921.516,1.240.944,2.072.809,913.686,,,12.615.396,61891.0,7404550.0,921516.0,1240944.0,2072809.0,913686.0,,,12615396.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,2.603.501,19.614.711,104.166.872,36.238.088,20.228.969,22.853.981,24.688.324,6.792.717,237.187.163,2603501.0,19614711.0,104166872.0,36238088.0,20228969.0,22853981.0,24688324.0,6792717.0,237187163.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Ngân hàng Nhà nước Việt Nam,Nợ phải trả > Các khoản nợ Ngân hàng Nhà nước Việt Nam,Các khoản nợ Ngân hàng Nhà nước Việt Nam,-,-,676,6.901,16.416,2.022,-,-,26.015,,,676.0,6901.0,16416.0,2022.0,,,26015.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,17.739.961,4.231.891,3.754.684,913.686,-,-,26.640.222,,,17739961.0,4231891.0,3754684.0,913686.0,,,26640222.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,55.554.984,23.890.035,26.173.460,15.083.318,8.353.937,1.092,129.056.826,,,55554984.0,23890035.0,26173460.0,15083318.0,8353937.0,1092.0,129056826.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,145.212,(27.687),(58.046),37.623,(28.970),-,68.132,,,145212.0,-27687.0,-58046.0,37623.0,-28970.0,,68132.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro",-,-,164.389,1.161.068,1.295.682,1.278.225,-,-,3.899.364,,,164389.0,1161068.0,1295682.0,1278225.0,,,3899364.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,1.489.084,2.992.859,5.867.683,21.618.090,9.293.341,-,41.261.057,,,1489084.0,2992859.0,5867683.0,21618090.0,9293341.0,,41261057.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,5.909.516,-,-,1.292.844,-,-,-,7.2C2.360,,5909516.0,,,1292844.0,,,,
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,5.909.516,75.094.306,32.255.067,38.342.723,38.932.964,17.618.308,1.092,208.153.976,,5909516.0,75094306.0,32255067.0,38342723.0,38932964.0,17618308.0,1092.0,208153976.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,2.603.501,13.705.195,29.072.566,3.983.021,(18.113.754),(16.078.983),7.070.016,6.791.625,29.033.187,2603501.0,13705195.0,29072566.0,3983021.0,-18113754.0,-16078983.0,7070016.0,6791625.0,29033187.0
