row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND
Phải thu về cho vay ngắn hạn (TM số 7) (*),Phải thu về cho vay ngắn hạn (TM số 7) (*),Phải thu về cho vay ngắn hạn (TM số 7) (*),Phải thu về cho vay ngắn hạn (TM số 7) (*),Phải thu về cho vay ngắn hạn (TM số 7) (*),Phải thu về cho vay ngắn hạn (TM số 7) (*),Phải thu về cho vay ngắn hạn (TM số 7) (*),,,,
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Phải thu về cho vay ngắn hạn (TM số 7) (*) > Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con,Cho vay,596.647.864,10.302.285,,,596647864.0,10302285.0
Công ty Cổ phần Bò sữa Tây Nguyên,Phải thu về cho vay ngắn hạn (TM số 7) (*) > Công ty Cổ phần Bò sữa Tây Nguyên,Công ty Cổ phần Bò sữa Tây Nguyên,Công ty con,Cho vay,363.487.000,-,,,363487000.0,
Công ty Cổ phần Cao su Hoàng Anh Quang Minh,Phải thu về cho vay ngắn hạn (TM số 7) (*) > Công ty Cổ phần Cao su Hoàng Anh Quang Minh,Công ty Cổ phần Cao su Hoàng Anh Quang Minh,Công ty con,Cho vay,234.617.379,-,,,234617379.0,
Công ty TNHH Hoàng Anh An Dong Meas,Phải thu về cho vay ngắn hạn (TM số 7) (*) > Công ty TNHH Hoàng Anh An Dong Meas,Công ty TNHH Hoàng Anh An Dong Meas,Công ty con,Cho vay,201.590.298,,,,201590298.0,
Công ty TNHH MTV Nông nghiệp Daun Penh,Phải thu về cho vay ngắn hạn (TM số 7) (*) > Công ty TNHH MTV Nông nghiệp Daun Penh,Công ty TNHH MTV Nông nghiệp Daun Penh,Công ty con,Cho vay,122.809.300,-,,,122809300.0,
Công ty Cổ phần Cao su Trung Nguyên,Phải thu về cho vay ngắn hạn (TM số 7) (*) > Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Công ty con,Cho vay,89.147.311,-,,,89147311.0,
Công ty TNHH Bình Phước Kratie Rubber 02,Phải thu về cho vay ngắn hạn (TM số 7) (*) > Công ty TNHH Bình Phước Kratie Rubber 02,Công ty TNHH Bình Phước Kratie Rubber 02,Công ty con,Cho vay,58.258.633,-,,,58258633.0,
Công ty TNHH Hoàng Anh Rattanakiri,Phải thu về cho vay ngắn hạn (TM số 7) (*) > Công ty TNHH Hoàng Anh Rattanakiri,Công ty TNHH Hoàng Anh Rattanakiri,Công ty con,Cho vay,57.254.000,-,,,57254000.0,
Công ty TNHH Hoàng Anh Oyadav,Phải thu về cho vay ngắn hạn (TM số 7) (*) > Công ty TNHH Hoàng Anh Oyadav,Công ty TNHH Hoàng Anh Oyadav,Công ty con,Cho vay,49.283.000,-,,,49283000.0,
Công ty Cổ phần Hoàng Anh Đắk Lắk,Phải thu về cho vay ngắn hạn (TM số 7) (*) > Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty con,Cho vay,35.776.325,-,,,35776325.0,
,,,,,1.808.871.110,10.302.285,,,1808871110.0,10302285.0
