row_label_raw,row_label_full,col_0,Ngàn VNDChương trìnhphần mềm,numeric__Ngàn VNDChương trìnhphần mềm
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số đầu năm và số cuối năm,Nguyên giá > Số đầu năm và số cuối năm,Số đầu năm và số cuối năm,48.197.185,48197185.0
Trong đó:Đã hao mòn hết,Nguyên giá > Trong đó:Đã hao mòn hết,Trong đó:Đã hao mòn hết,333.210,333210.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,
Số đầu năm,Hao mòn lũy kế > Số đầu năm,Số đầu năm,23.766.614,23766614.0
Hao mòn trong năm,Hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,5.982.997,5982997.0
Số cuối năm,Hao mòn lũy kế > Số cuối năm,Số cuối năm,29.749.611,29749611.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,24.430.571,24430571.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,18.447.574,18447574.0
