row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận chuyển,Thiết bị văn phòng,Ngàn VND Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận chuyển,numeric__Thiết bị văn phòng,numeric__Ngàn VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,-,17.006.391,4.990.703,322.185,22.319.279,,17006391.0,4990703.0,322185.0,22319279.0
Mua mới,Nguyên giá > Mua mới,Mua mới,19.425.632,10.460.331,59.082,-,29.945.045,19425632.0,10460331.0,59082.0,,29945045.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(220.500),-,-,(220.500),,-220500.0,,,-220500.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,19.425.632,27.246.222,5.049.785,322.185,52.043.824,19425632.0,27246222.0,5049785.0,322185.0,52043824.0
Trong đó: Đã khấu hao hết,Nguyên giá > Trong đó: Đã khấu hao hết,Trong đó: Đã khấu hao hết,-,15.781.387,797.302,281.274,16.859.963,,15781387.0,797302.0,281274.0,16859963.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,
Số đầu năm,Khấu hao lũy kế > Số đầu năm,Số đầu năm,-,16.273.599,2.914.817,290.819,19.479.235,,16273599.0,2914817.0,290819.0,19479235.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,606.437,583.345,665.405,8.182,1.863.369,606437.0,583345.0,665405.0,8182.0,1863369.0
Thanh lý,Khấu hao lũy kế > Thanh lý,Thanh lý,-,(106.575),-,-,(106.575),,-106575.0,,,-106575.0
Số cuối năm,Khấu hao lũy kế > Số cuối năm,Số cuối năm,606.437,16.750.369,3.580.222,299.001,21.236.029,606437.0,16750369.0,3580222.0,299001.0,21236029.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,-,732.792,2.075.886,31.366,2.840.044,,732792.0,2075886.0,31366.0,2840044.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,18.819.195,10.495.853,1.469.563,23.184,30.807.795,18819195.0,10495853.0,1469563.0,23184.0,30807795.0
