row_label_raw,row_label_full,Mã số > 01 > 02 > 03 > 04 > 05 > 06,CHỈ TIÊU > I. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG KINH DOANHLỗ kế toán trước thuếĐiều chỉnh cho các khoản:Khấu hao và hao mònCác khoản dự phòng (hoàn nhập dự phòng)Lỗ (lãi) chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệLãi từ hoạt động đầu tưChi phí lãi vay,"Thuyết minh > 10, 11",Năm nay > (171.752.975)7.846.366214.512.262526.043(607.301.852)554.862.319,Năm trước > (9.161.050)8.332.274(42.201.041)(378.096)(390.356.514)549.233.077,numeric__CHỈ TIÊU > I. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG KINH DOANHLỗ kế toán trước thuếĐiều chỉnh cho các khoản:Khấu hao và hao mònCác khoản dự phòng (hoàn nhập dự phòng)Lỗ (lãi) chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệLãi từ hoạt động đầu tưChi phí lãi vay,"numeric__Thuyết minh > 10, 11",numeric__Năm nay > (171.752.975)7.846.366214.512.262526.043(607.301.852)554.862.319,numeric__Năm trước > (9.161.050)8.332.274(42.201.041)(378.096)(390.356.514)549.233.077
08,08,08,(Lỗ) lãi từ hoạt động kinh doanh trước thay đổi vốn lưu độngTăng các khoản phải thuTăng hàng tồn kho(Giảm) tăng các khoản phải trảTăng chi phí trả trướcTiền lãi vay đã trả,(1.307.837)(740.984.279)(12.182.052)(373.157.041)(2.464.381)(814.890.246),(115.468.650)(378.998.012)(10.783.645)253.490.348(380.994)(162.614.335),,,,,
09,09,09,(Lỗ) lãi từ hoạt động kinh doanh trước thay đổi vốn lưu độngTăng các khoản phải thuTăng hàng tồn kho(Giảm) tăng các khoản phải trảTăng chi phí trả trướcTiền lãi vay đã trả,(1.307.837)(740.984.279)(12.182.052)(373.157.041)(2.464.381)(814.890.246),(115.468.650)(378.998.012)(10.783.645)253.490.348(380.994)(162.614.335),,,,,
10,10,10,(Lỗ) lãi từ hoạt động kinh doanh trước thay đổi vốn lưu độngTăng các khoản phải thuTăng hàng tồn kho(Giảm) tăng các khoản phải trảTăng chi phí trả trướcTiền lãi vay đã trả,(1.307.837)(740.984.279)(12.182.052)(373.157.041)(2.464.381)(814.890.246),(115.468.650)(378.998.012)(10.783.645)253.490.348(380.994)(162.614.335),,,,,
11,11,11,(Lỗ) lãi từ hoạt động kinh doanh trước thay đổi vốn lưu độngTăng các khoản phải thuTăng hàng tồn kho(Giảm) tăng các khoản phải trảTăng chi phí trả trướcTiền lãi vay đã trả,(1.307.837)(740.984.279)(12.182.052)(373.157.041)(2.464.381)(814.890.246),(115.468.650)(378.998.012)(10.783.645)253.490.348(380.994)(162.614.335),,,,,
12,12,12,(Lỗ) lãi từ hoạt động kinh doanh trước thay đổi vốn lưu độngTăng các khoản phải thuTăng hàng tồn kho(Giảm) tăng các khoản phải trảTăng chi phí trả trướcTiền lãi vay đã trả,(1.307.837)(740.984.279)(12.182.052)(373.157.041)(2.464.381)(814.890.246),(115.468.650)(378.998.012)(10.783.645)253.490.348(380.994)(162.614.335),,,,,
14,14,14,(Lỗ) lãi từ hoạt động kinh doanh trước thay đổi vốn lưu độngTăng các khoản phải thuTăng hàng tồn kho(Giảm) tăng các khoản phải trảTăng chi phí trả trướcTiền lãi vay đã trả,(1.307.837)(740.984.279)(12.182.052)(373.157.041)(2.464.381)(814.890.246),(115.468.650)(378.998.012)(10.783.645)253.490.348(380.994)(162.614.335),,,,,
20,20,20,"Lưu chuyển tiền thuần sử dụngvào hoạt động kinh doanhII. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG ĐẦU TỰTiền chỉ đề mua sắm tài sảncó địnhTiền thu do thanh lý, nhượng bán tài sản cố địnhTiền chi cho các đơn vị khác vayTiền thu hồi cho vayTiền chi đầu tư góp vốn vào đơn vị khácTiền thu từ bán công ty conTiền thu lãi cho vay",(1.944.985.836)(2.876.583)113.925(1.816.332.854)13.200.000(7.783.830)-107.482.078,(183.817.988)(1.380.530)755.728-381.207.754-1.330.000.000118.468.243,,,,,
21,21,21,"Lưu chuyển tiền thuần sử dụngvào hoạt động kinh doanhII. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG ĐẦU TỰTiền chỉ đề mua sắm tài sảncó địnhTiền thu do thanh lý, nhượng bán tài sản cố địnhTiền chi cho các đơn vị khác vayTiền thu hồi cho vayTiền chi đầu tư góp vốn vào đơn vị khácTiền thu từ bán công ty conTiền thu lãi cho vay",(1.944.985.836)(2.876.583)113.925(1.816.332.854)13.200.000(7.783.830)-107.482.078,(183.817.988)(1.380.530)755.728-381.207.754-1.330.000.000118.468.243,,,,,
22,22,22,"Lưu chuyển tiền thuần sử dụngvào hoạt động kinh doanhII. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG ĐẦU TỰTiền chỉ đề mua sắm tài sảncó địnhTiền thu do thanh lý, nhượng bán tài sản cố địnhTiền chi cho các đơn vị khác vayTiền thu hồi cho vayTiền chi đầu tư góp vốn vào đơn vị khácTiền thu từ bán công ty conTiền thu lãi cho vay",(1.944.985.836)(2.876.583)113.925(1.816.332.854)13.200.000(7.783.830)-107.482.078,(183.817.988)(1.380.530)755.728-381.207.754-1.330.000.000118.468.243,,,,,
23,23,23,"Lưu chuyển tiền thuần sử dụngvào hoạt động kinh doanhII. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG ĐẦU TỰTiền chỉ đề mua sắm tài sảncó địnhTiền thu do thanh lý, nhượng bán tài sản cố địnhTiền chi cho các đơn vị khác vayTiền thu hồi cho vayTiền chi đầu tư góp vốn vào đơn vị khácTiền thu từ bán công ty conTiền thu lãi cho vay",(1.944.985.836)(2.876.583)113.925(1.816.332.854)13.200.000(7.783.830)-107.482.078,(183.817.988)(1.380.530)755.728-381.207.754-1.330.000.000118.468.243,,,,,
