row_label_raw,row_label_full,Tên công ty con,Lĩnh vực kinh doanh,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
Tên công ty con,Tên công ty con,Tên công ty con,Lĩnh vực kinh doanh,Tỷ lệ sở hữu %,Giá gốc đầu tư (Ngàn VND),Dự phòng (Ngàn VND),Tỷ lệ sở hữu %,Giá gốc đầu tư (Ngàn VND),Dự phòng (Ngàn VND),,,,,,,
Công ty Cổ phần Cao su Trung Nguyên,Tên công ty con > Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,"Trồng cây công nông nghiệp, và chăn nuôi bò","99,91",3.277.737.120,-,"99,91",3.277.737.120,-,,99.91,3277737120.0,,99.91,3277737120.0,
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Tên công ty con > Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,"Trồng cây công nông nghiệp, chăn nuôi bò và xây dựng","100,00",2.101.029.560,-,"100,00",2.101.029.560,-,,100.0,2101029560.0,,100.0,2101029560.0,
Công ty TNHH Đầu tư và Phát triển Cao su Đông Dương,Tên công ty con > Công ty TNHH Đầu tư và Phát triển Cao su Đông Dương,Công ty TNHH Đầu tư và Phát triển Cao su Đông Dương,Trồng cây công nghiệp,"100,00",1.650.000.000,-,"100,00",1.650.000.000,-,,100.0,1650000000.0,,100.0,1650000000.0,
Công ty TNHH Hoàng Anh Rattanakiri,Tên công ty con > Công ty TNHH Hoàng Anh Rattanakiri,Công ty TNHH Hoàng Anh Rattanakiri,Trồng cây công nghiệp,"100,00",943.513.645,-,"100,00",943.513.645,-,,100.0,943513645.0,,100.0,943513645.0,
Công ty Cổ phần Đông Pênh,Tên công ty con > Công ty Cổ phần Đông Pênh,Công ty Cổ phần Đông Pênh,Trồng cây công nghiệp,"99,70",798.397.600,-,"99,70",798.397.600,-,,99.7,798397600.0,,99.7,798397600.0,
Công ty Cổ phần An Đông Mia (*),Tên công ty con > Công ty Cổ phần An Đông Mia (*),Công ty Cổ phần An Đông Mia (*),Trồng cây công nghiệp,"99,50",878.881.001,-,"69,50",695.695.001,-,,99.5,878881001.0,,69.5,695695001.0,
Công ty Cổ phần Bò sữa Tây Nguyên,Tên công ty con > Công ty Cổ phần Bò sữa Tây Nguyên,Công ty Cổ phần Bò sữa Tây Nguyên,Chăn nuôi bò,"99,00",615.584.549,(90.195.948),"99,00",615.584.549,-,,99.0,615584549.0,-90195948.0,99.0,615584549.0,
Công ty Cổ phần Cao su Hoàng Anh – Quang Minh,Tên công ty con > Công ty Cổ phần Cao su Hoàng Anh – Quang Minh,Công ty Cổ phần Cao su Hoàng Anh – Quang Minh,"Trồng cây công nông nghiệp, và chăn nuôi bò","97,77",440.512.398,-,"97,77",440.512.398,-,,97.77,440512398.0,,97.77,440512398.0,
Công ty Cổ phần Hoàng Anh Đắk Lắk,Tên công ty con > Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Trồng cây công nghiệp và kinh doanh bất động sản,"99,53",394.313.155,(43.236.413),"99,53",394.313.155,-,,99.53,394313155.0,-43236413.0,99.53,394313155.0,
Công ty TNHH Hoàng Anh Oyadav,Tên công ty con > Công ty TNHH Hoàng Anh Oyadav,Công ty TNHH Hoàng Anh Oyadav,Trồng cây công nghiệp,"100,00",171.654.457,-,"100,00",171.654.457,-,,100.0,171654457.0,,100.0,171654457.0,
Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,Tên công ty con > Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,Thương mại,"100,00",100.000.000,(145.149.588),"100,00",100.000.000,(64.124.964),,100.0,100000000.0,-145149588.0,100.0,100000000.0,-64124964.0
TỔNG CỘNG,Tên công ty con > TỔNG CỘNG,TỔNG CỘNG,,,11.371.623.485,(278.581.949),,11.188.437.485,(64.124.964),,,11371623485.0,-278581949.0,,11188437485.0,-64124964.0
