row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Quyền chọn trái phiếu chuyển đổi,Lợi nhuận sau thuế chưa phân phối,Ngàn VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Quyền chọn trái phiếu chuyển đổi,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Ngàn VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,7.671.438.950,1.064.550.810,-,1.291.389.245,10.027.379.005,7671438950.0,1064550810.0,,1291389245.0,10027379005.0
Lỗ thuần trong năm,Năm trước > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,(9.161.050),(9.161.050),,,,-9161050.0,-9161050.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,7.671.438.950,1.064.550.810,-,1.282.228.195,10.018.217.955,7671438950.0,1064550810.0,,1282228195.0,10018217955.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,7.671.438.950,1.064.550.810,-,1.282.228.195,10.018.217.955,7671438950.0,1064550810.0,,1282228195.0,10018217955.0
Phát hành cổ phiếu (*),Năm nay > Phát hành cổ phiếu (*),Phát hành cổ phiếu (*),1.197.000.000,-,-,-,1.197.000.000,1197000000.0,,,,1197000000.0
Phát hành trái phiếu chuyển đổi,Năm nay > Phát hành trái phiếu chuyển đổi,Phát hành trái phiếu chuyển đổi,,,105.576.190,,105.576.190,,,105576190.0,,105576190.0
Chia thủ lao Ban Kiểm soát,Năm nay > Chia thủ lao Ban Kiểm soát,Chia thủ lao Ban Kiểm soát,-,-,-,(810.000),(810.000),,,,-810000.0,-810000.0
Lỗ thuần trong năm,Năm nay > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,(171.752.975),(171.752.975),,,,-171752975.0,-171752975.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,8.868.438.950,1.064.550.810,105.576.190,1.109.665.220,11.148.231.170,8868438950.0,1064550810.0,105576190.0,1109665220.0,11148231170.0
