row_label_raw,row_label_full,col_0,Vay ngắn hạn,Vay dài hạn,Ngàn VND Tổng cộng,numeric__Vay ngắn hạn,numeric__Vay dài hạn,numeric__Ngàn VND Tổng cộng
Số đầu năm,Số đầu năm,Số đầu năm,403.573.305,5.095.823.404,5.499.396.709,403573305.0,5095823404.0,5499396709.0
Tiền thu từ đi vay,Tiền thu từ đi vay,Tiền thu từ đi vay,5.192.109.843,581.328.280,5.773.438.123,5192109843.0,581328280.0,5773438123.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,489.483.571,(489.483.571),-,489483571.0,-489483571.0,
Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,(1.036.449.385),(1.102.378.078),(2.138.827.463),-1036449385.0,-1102378078.0,-2138827463.0
Cấu phần vốn trái phiếu chuyển đổi,Cấu phần vốn trái phiếu chuyển đổi,Cấu phần vốn trái phiếu chuyển đổi,(105.576.190),-,(105.576.190),-105576190.0,,-105576190.0
Giá trị phân bổ lũy kế phần giá trịchiết khấu của trái phiếu chuyển đổi,Giá trị phân bổ lũy kế phần giá trịchiết khấu của trái phiếu chuyển đổi,Giá trị phân bổ lũy kế phần giá trịchiết khấu của trái phiếu chuyển đổi,41.941.226,-,41.941.226,41941226.0,,41941226.0
Chuyển đổi nợ vay (qua)/từ khoảnphải trả,Chuyển đổi nợ vay (qua)/từ khoảnphải trả,Chuyển đổi nợ vay (qua)/từ khoảnphải trả,(12.041.300),751.979.941,739.938.641,-12041300.0,751979941.0,739938641.0
Chênh lệch tỷ giá hối đoái do đánhgiá lại các khoản vay có gốc ngoại tệ,Chênh lệch tỷ giá hối đoái do đánhgiá lại các khoản vay có gốc ngoại tệ,Chênh lệch tỷ giá hối đoái do đánhgiá lại các khoản vay có gốc ngoại tệ,114.775,15.225.735,15.340.510,114775.0,15225735.0,15340510.0
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(252.333),7.754.925,7.502.592,-252333.0,7754925.0,7502592.0
Số cuối năm,Số cuối năm,Số cuối năm,4.972.903.512,4.860.250.636,9.833.154.148,4972903512.0,4860250636.0,9833154148.0
