row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND > Số đầu năm,numeric__Môi quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND > Số đầu năm
Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),,,,
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con,Bán hàng hóa,50.105.452,-,,,50105452.0,
Công ty Cổ Phần Nông Lâm Nghiệp Cánh Đồng Vàng,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty Cổ Phần Nông Lâm Nghiệp Cánh Đồng Vàng,Công ty Cổ Phần Nông Lâm Nghiệp Cánh Đồng Vàng,Bên liên quan,Bán hàng hóa,30.370.320,-,,,30370320.0,
Công ty TNHH Hoàng Anh An Dong Meas,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty TNHH Hoàng Anh An Dong Meas,Công ty TNHH Hoàng Anh An Dong Meas,Công ty con,Bán hàng hóa,16.866.304,6.789.994,,,16866304.0,6789994.0
Công ty Cổ Phần Cao su Trung Nguyên,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty Cổ Phần Cao su Trung Nguyên,Công ty Cổ Phần Cao su Trung Nguyên,Công ty con,Bán hàng hóa,10.421.131,2.928.797,,,10421131.0,2928797.0
Công Ty Cổ Phần Gõ Hoàng Anh Gia La,Phải thu ngắn hạn của khách hàng (TM số 5) > Công Ty Cổ Phần Gõ Hoàng Anh Gia La,Công Ty Cổ Phần Gõ Hoàng Anh Gia La,Bên liên quan,Bán hàng hóa,4.854.442,4.653.973,,,4854442.0,4653973.0
Công ty Cổ phần Chăn nuôi Gia Lai,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên quan (đến ngày 20 tháng 3 năm 2018),Bán hàng hóa,6.612.324,-,,,6612324.0,
Công ty Cổ phần Hoàng Anh Đắk Lắk,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty con,Bán hàng hóa,3.424.466,-,,,3424466.0,
Công ty Cổ phần Thực phẩm Heygo,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty Cổ phần Thực phẩm Heygo,Công ty Cổ phần Thực phẩm Heygo,Công ty liên quan (đến ngày 31 tháng 1 năm 2018),Bán hàng hóa,2.720.006,-,,,2720006.0,
Công ty Cổ phần Bò sữa Tây Nguyên,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty Cổ phần Bò sữa Tây Nguyên,Công ty Cổ phần Bò sữa Tây Nguyên,Công ty con,Bán hàng hóa,1.853.648,1.511.412,,,1853648.0,1511412.0
Công ty TNHH MTV Nông nghiệp Daun Penh,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty TNHH MTV Nông nghiệp Daun Penh,Công ty TNHH MTV Nông nghiệp Daun Penh,Công ty con,Bán hàng hóa,1.822.368,-,,,1822368.0,
Công ty Cổ Phần Thế Thao Hoàng Anh,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty Cổ Phần Thế Thao Hoàng Anh,Công ty Cổ Phần Thế Thao Hoàng Anh,Công ty trong cùng Tập đoàn,Bán hàng hóa,186.299,-,,,186299.0,
Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,Công ty con,Bán hàng hóa,-,54.684.592,,,,54684592.0
Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Bên liên quan,Bán hàng hóa,-,39.609.909,,,,39609909.0
Công ty Cổ phần Hoàng Anh Gia Lai,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty mẹ,Bán hàng hóa,-,1.046.163,,,,1046163.0
Công ty Cổ phần Xây dựng Cầu đường Hoàng Anh Gia Lai,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty Cổ phần Xây dựng Cầu đường Hoàng Anh Gia Lai,Công ty Cổ phần Xây dựng Cầu đường Hoàng Anh Gia Lai,Bên liên quan,"Bán tài sản cố định, hàng hóa",-,267.562,,,,267562.0
,,,,,129.236.760,111.492.402,,,129236760.0,111492402.0
