row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Số cuối năm,Số đầu năm (Đã trình bày lại),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Đã trình bày lại)
300,300,300,C. NỘ PHẢI TRẢ,,11.950.359.240,8.155.765.380,,,11950359240.0,8155765380.0
310,310,310,I. Nợ ngắn hạn,,5.779.113.942,2.381.561.152,,,5779113942.0,2381561152.0
311,311,311,1. Phải trả người bán ngắn hạn,13,126.426.733,168.392.727,,13.0,126426733.0,168392727.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,14,99.512.291,115.201.505,,14.0,99512291.0,115201505.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,17,74.248,183.501,,17.0,74248.0,183501.0
314,314,314,4. Phải trả người lao động,,3.701.552,279.547,,,3701552.0,279547.0
315,315,315,5. Chi phí phải trả ngắn hạn,15,417.979.769,400.538.772,,15.0,417979769.0,400538772.0
319,319,319,6. Phải trả ngắn hạn khác,16,158.515.837,1.293.391.795,,16.0,158515837.0,1293391795.0
320,320,320,7. Vay ngắn hạn,18,4.972.903.512,403.573.305,,18.0,4972903512.0,403573305.0
330,330,330,II. Nợ dài hạn,,6.171.245.298,5.774.204.228,,,6171245298.0,5774204228.0
333,333,333,1. Chi phí phải trả dài hạn,15,337.190.031,678.380.824,,15.0,337190031.0,678380824.0
337,337,337,2. Phải trả dài hạn khác,16,973.804.631,-,,16.0,973804631.0,
338,338,338,3. Vay dài hạn,18,4.860.250.636,5.095.823.404,,18.0,4860250636.0,5095823404.0
400,400,400,D. VỐN CHỦ SỞ HỮU,,11.148.231.170,10.018.217.955,,,11148231170.0,10018217955.0
410,410,410,I. Vốn chủ sở hữu,19,11.148.231.170,10.018.217.955,,19.0,11148231170.0,10018217955.0
411,411,411,1. Vốn cổ phần,,8.868.438.950,7.671.438.950,,,8868438950.0,7671438950.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,8.868.438.950,7.671.438.950,,,8868438950.0,7671438950.0
412,412,412,2. Thặng dư vốn cổ phần,,1.064.550.810,1.064.550.810,,,1064550810.0,1064550810.0
413,413,413,3. Quyền chọn chuyển đổi trái phiếu,,105.576.190,-,,,105576190.0,
421,421,421,4. Lợi nhuận sau thuế chưa phân phối,,1.109.665.220,1.282.228.195,,,1109665220.0,1282228195.0
421a,421a,421a,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,,1.281.418.195,1.291.389.245,,,1281418195.0,1291389245.0
421b,421b,421b,- Lỗ trong năm,,(171.752.975),(9.161.050),,,-171752975.0,-9161050.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,23.098.590.410,18.173.983.335,,,23098590410.0,18173983335.0
