row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND > Số đầu năm
Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),,,,
Công ty Cổ phầnCao su Hoàng Anh –Quang Minh,Phải thu ngắn hạn khác (TM số 8) > Công ty Cổ phầnCao su Hoàng Anh –Quang Minh,Công ty Cổ phầnCao su Hoàng Anh –Quang Minh,Công tycon,Cấn trừ công nợCổ tức phải thuChi hộ,596.859.66719.507.5006.391.704,-19.507.5007.234.722,,,5.96859667195075e+23,-195075007234722.0
Công ty TNHH Phát triểnNông nghiệp Hoàng AnhAttapeu,Phải thu ngắn hạn khác (TM số 8) > Công ty TNHH Phát triểnNông nghiệp Hoàng AnhAttapeu,Công ty TNHH Phát triểnNông nghiệp Hoàng AnhAttapeu,Công tycon,Cấn trừ công nợ,470.735.574,391.802.463,,,470735574.0,391802463.0
,,,,Chi hộLãi cho vay,24.097.3104.481.542,4.011.56317.591.752,,,240973104481542.0,401156317591752.0
Công ty Cổ phần An ĐôngMeas Việt Nam,Phải thu ngắn hạn khác (TM số 8) > Công ty Cổ phần An ĐôngMeas Việt Nam,Công ty Cổ phần An ĐôngMeas Việt Nam,Công tycon,Cấn trừ công nợ,38.415.501,-,,,38415501.0,
Công ty Cổ phần HoàngAnh Đắk Lắk,Phải thu ngắn hạn khác (TM số 8) > Công ty Cổ phần HoàngAnh Đắk Lắk,Công ty Cổ phần HoàngAnh Đắk Lắk,Công tycon,Cấn trừ công nợLãi cho vay,23.404.454236.003,-,,,23404454236003.0,
Công ty TNHH Hoàng AnhRattanakiri,Phải thu ngắn hạn khác (TM số 8) > Công ty TNHH Hoàng AnhRattanakiri,Công ty TNHH Hoàng AnhRattanakiri,Công tycon,Lãi cho vayChi hộ,1.148.217-,-7.239.727,,,,-7239727.0
Công ty TNHHHoàng Anh Oyadav,Phải thu ngắn hạn khác (TM số 8) > Công ty TNHHHoàng Anh Oyadav,Công ty TNHHHoàng Anh Oyadav,Công tycon,Cấn trừ công nợChi hộLãi cho vay,12.961.9395.406.430683.685,-5.406.428-,,,1.2961939540643068e+20,
Công ty TNHH DaunPenh Agrico,Phải thu ngắn hạn khác (TM số 8) > Công ty TNHH DaunPenh Agrico,Công ty TNHH DaunPenh Agrico,Công tycon,Cấn trừcông nợLãi cho vay,12.675.3271.856.247,-,,,126753271856247.0,
Công ty TNHH CN & NNCao su Hoàng AnhQuang Minh,Phải thu ngắn hạn khác (TM số 8) > Công ty TNHH CN & NNCao su Hoàng AnhQuang Minh,Công ty TNHH CN & NNCao su Hoàng AnhQuang Minh,Công tycon,Lãi cho vayChi hộ,3.444.551747.464,-,,,3444551747464.0,
Công ty TNHH MTVHoàng Anh An ĐôngMeas,Công ty TNHH MTVHoàng Anh An ĐôngMeas,Công ty TNHH MTVHoàng Anh An ĐôngMeas,Công tycon,Chi hộCấn trừ công nợLãi cho vayKhác,4.340.4382.987.9112.878.055-,-,,,,
Công ty TNHH HoàngAnh Lumphat,Công ty TNHH MTVHoàng Anh An ĐôngMeas > Công ty TNHH HoàngAnh Lumphat,Công ty TNHH HoàngAnh Lumphat,Công tycon,Cấn trừcông nợ,2.234.965,2.941.301,,,2234965.0,2941301.0
Công ty Cổ phần HoàngAnh Gia Lai,Công ty TNHH MTVHoàng Anh An ĐôngMeas > Công ty Cổ phần HoàngAnh Gia Lai,Công ty Cổ phần HoàngAnh Gia Lai,Công tymệ,Chi hộKhác,2.065.085680.800,2.105.085-,,,2065085680800.0,
Công ty Cổ phần Bò sữaTây Nguyên,Công ty TNHH MTVHoàng Anh An ĐôngMeas > Công ty Cổ phần Bò sữaTây Nguyên,Công ty Cổ phần Bò sữaTây Nguyên,Công tycon,Lãi cho vay,1.771.999,-,,,1771999.0,
Công ty TNHH BìnhPhước Kratie Rubber 2,Công ty TNHH MTVHoàng Anh An ĐôngMeas > Công ty TNHH BìnhPhước Kratie Rubber 2,Công ty TNHH BìnhPhước Kratie Rubber 2,Công tycon,Chi hộLãi cho vayKhác,1.010.529818.461-,589.536,,,,589536.0
