row_label_raw,row_label_full,Tổ chức thu xếp phát hành,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
"Công ty Cổ phần Chứng khoán Euro Capital (""ECS"")","Công ty Cổ phần Chứng khoán Euro Capital (""ECS"")","Công ty Cổ phần Chứng khoán Euro Capital (""ECS"")",1.694.000.000,1.694.000.000,1694000000.0,1694000000.0
"Công ty Cổ phần Chứng khoán IB (""IB"")","Công ty Cổ phần Chứng khoán IB (""IB"")","Công ty Cổ phần Chứng khoán IB (""IB"")",344.234.136,431.000.000,344234136.0,431000000.0
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(109.398),(7.864.324),-109398.0,-7864324.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.038.124.738,2.117.135.676,2038124738.0,2117135676.0
Trong đó:,Trong đó:,Trong đó:,,,,
Vay dài hạn trái phiếu đến hạn trả,Trong đó: > Vay dài hạn trái phiếu đến hạn trả,Vay dài hạn trái phiếu đến hạn trả,484.897.156,86.717.200,484897156.0,86717200.0
Vay dài hạn trái phiếu,Trong đó: > Vay dài hạn trái phiếu,Vay dài hạn trái phiếu,1.553.227.582,2.030.418.476,1553227582.0,2030418476.0
