row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Ngàn VND > Năm nay,Ngàn VND > Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Ngàn VND > Năm nay,numeric__Ngàn VND > Năm trước
Công ty TNHH Đầu tư và Phát triển Cao su Đông Dương,Công ty TNHH Đầu tư và Phát triển Cao su Đông Dương,Công ty TNHH Đầu tư và Phát triển Cao su Đông Dương,Công ty con,Cho vayLãi cho vay,10.979.826883.346,-,,,10979826883346.0,
Công ty Cổ phần Đầu tư Bất Đông sản An Phú,Công ty Cổ phần Đầu tư Bất Đông sản An Phú,Công ty Cổ phần Đầu tư Bất Đông sản An Phú,Bên liên quan,Lãi cho vay,10.500.000,42.583.333,,,10500000.0,42583333.0
Chi nhánh Nguyên Vật Liệu Hoàng Anh Gia Lai,Chi nhánh Nguyên Vật Liệu Hoàng Anh Gia Lai,Chi nhánh Nguyên Vật Liệu Hoàng Anh Gia Lai,Công ty trong cùng Tập đoàn,Mua vật tưBán hàng hóa,7.299.5622.168.850,-,,,72995622168850.0,
Công ty Cổ phần Thực phẩm Heygo,Công ty Cổ phần Thực phẩm Heygo,Công ty Cổ phần Thực phẩm Heygo,Công ty liên quan (đến ngày 31 tháng 1 năm 2018),Bán hàng hóaMua hàng hóa,6.387.0532.100.000,6.033.014,,,63870532100000.0,6033014.0
Công ty Cổ phần Khoáng sản Hoàng Anh Gia Lai,Công ty Cổ phần Khoáng sản Hoàng Anh Gia Lai,Công ty Cổ phần Khoáng sản Hoàng Anh Gia Lai,Công ty trong cùng Tập đoàn,Khác,5.950.000,-,,,5950000.0,
Công ty TNHH Hoàng Anh Lymphat,Công ty TNHH Hoàng Anh Lymphat,Công ty TNHH Hoàng Anh Lymphat,Công ty con,Mua hàng hóa,4.751.383,-,,,4751383.0,
Công ty Cổ phần An Đông Mia Việt Nam,Công ty Cổ phần An Đông Mia Việt Nam,Công ty Cổ phần An Đông Mia Việt Nam,Công ty con,Cho vayLãi cho vay,2.658.00081.555,-,,,265800081555.0,
Công ty Cổ phần Thủy điện Hoàng Anh Gia Lai,Công ty Cổ phần Thủy điện Hoàng Anh Gia Lai,Công ty Cổ phần Thủy điện Hoàng Anh Gia Lai,Công ty trong cùng Tập đoàn,Chi phí lãi vay,1.557.100,-,,,1557100.0,
Chi nhánh khách sạn Hoàng Anh Gia Lai,Chi nhánh khách sạn Hoàng Anh Gia Lai,Chi nhánh khách sạn Hoàng Anh Gia Lai,Công ty trong cùng Tập đoàn,Mua dịch vụBán hàng hóa,1.022.50431.013,-,,,102250431013.0,
Công ty Cổ phần Hưng Thắng Lợi,Công ty Cổ phần Hưng Thắng Lợi,Công ty Cổ phần Hưng Thắng Lợi,Công ty trong cùng Tập đoàn,VayChi phí lãi vay,-,512.091.30010.170.173,,,,5.120913001017018e+16
