row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm (Đã trình bày lại),numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm (Đã trình bày lại)
Ngắn hạn,Ngắn hạn,Ngắn hạn,158.515.837,1.293.391.795,158515837.0,1293391795.0
Mượn tiền,Mượn tiền,Mượn tiền,147.685.000,85.750.000,147685000.0,85750000.0
Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,2.698.440,4.506.440,2698440.0,4506440.0
Nợ vay sẽ hoán đổi thành vốn (TM số 19.1),Nợ vay sẽ hoán đổi thành vốn (TM số 19.1),Nợ vay sẽ hoán đổi thành vốn (TM số 19.1),-,1.197.000.000,,1197000000.0
Phải trả khác,Phải trả khác,Phải trả khác,8.132.397,6.135.355,8132397.0,6135355.0
Dài hạn,Dài hạn,Dài hạn,973.804.631,-,973804631.0,
Phải trả các bên liên quan từ việc cấn trừ công nợ,Phải trả các bên liên quan từ việc cấn trừ công nợ,Phải trả các bên liên quan từ việc cấn trừ công nợ,973.804.631,-,973804631.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.132.320.468,1.293.391.795,1132320468.0,1293391795.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả dài hạn bên liên quan (TM số 26),Trong đó: > Phải trả dài hạn bên liên quan (TM số 26),Phải trả dài hạn bên liên quan (TM số 26),973.804.631,346.274.401,973804631.0,346274401.0
Phải trả ngắn hạn bên liên quan (TM số 26),Trong đó: > Phải trả ngắn hạn bên liên quan (TM số 26),Phải trả ngắn hạn bên liên quan (TM số 26),147.685.000,696.748.336,147685000.0,696748336.0
Phải trả các bên khác,Trong đó: > Phải trả các bên khác,Phải trả các bên khác,10.830.837,250.369.058,10830837.0,250369058.0
