row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Người mua trả tiền trước ngắn hạn (TM số 14),Người mua trả tiền trước ngắn hạn (TM số 14),Người mua trả tiền trước ngắn hạn (TM số 14),Người mua trả tiền trước ngắn hạn (TM số 14),Người mua trả tiền trước ngắn hạn (TM số 14),Người mua trả tiền trước ngắn hạn (TM số 14),Người mua trả tiền trước ngắn hạn (TM số 14),,,,
Công ty Cổ phần Bò sữa Tây Nguyên,Người mua trả tiền trước ngắn hạn (TM số 14) > Công ty Cổ phần Bò sữa Tây Nguyên,Công ty Cổ phần Bò sữa Tây Nguyên,Công ty con,Tạm ứng mua hàng hóa,49.176.800,-,,,49176800.0,
Công ty TNHH MTV Phát triển Nông Nghiệp Đại Thắng,Người mua trả tiền trước ngắn hạn (TM số 14) > Công ty TNHH MTV Phát triển Nông Nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông Nghiệp Đại Thắng,Công ty trong cùng Tập đoàn,Tạm ứng mua vật tư,36.074.952,30.304.994,,,36074952.0,30304994.0
Công ty TNHH CN&NN Cao su Hoàng Anh – Quang Minh,Người mua trả tiền trước ngắn hạn (TM số 14) > Công ty TNHH CN&NN Cao su Hoàng Anh – Quang Minh,Công ty TNHH CN&NN Cao su Hoàng Anh – Quang Minh,Công ty con,Tạm ứng mua vật tư,4.446.002,-,,,4446002.0,
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Người mua trả tiền trước ngắn hạn (TM số 14) > Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con,Tạm ứng mua vật tư,1.179.412,-,,,1179412.0,
,,,,,90.877.166,30.304.994,,,90877166.0,30304994.0
Phải trả ngắn hạn khác (TM số 16),Phải trả ngắn hạn khác (TM số 16),Phải trả ngắn hạn khác (TM số 16),Phải trả ngắn hạn khác (TM số 16),Phải trả ngắn hạn khác (TM số 16),Phải trả ngắn hạn khác (TM số 16),Phải trả ngắn hạn khác (TM số 16),,,,
Ông Đoàn Nguyên Đức,Phải trả ngắn hạn khác (TM số 16) > Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịch,Mượn tiền,136.000.000,-,,,136000000.0,
Công ty Cổ phần Lê Me,Phải trả ngắn hạn khác (TM số 16) > Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Bên liên quan,Mượn tiền,11.685.000,-,,,11685000.0,
Công ty Cổ phần Hưng Thắng Lợi,Phải trả ngắn hạn khác (TM số 16) > Công ty Cổ phần Hưng Thắng Lợi,Công ty Cổ phần Hưng Thắng Lợi,Công ty trong cùng Tập đoàn,Mượn tiềnLãi vay,-,500.000.00010.120.174,,,,5.000000001012018e+16
Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty mẹ,Lãi vayThu hộ,-,107.617.742-,,,,
Công ty Cổ phần Thủy Điện Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai > Công ty Cổ phần Thủy Điện Hoàng Anh Gia Lai,Công ty Cổ phần Thủy Điện Hoàng Anh Gia Lai,Công ty trong cùng Tập đoàn,Mượn tiềnLãi vay,-,67.800.0005.260.420,,,,678000005260420.0
Công ty Cổ phần Khoáng sản Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai > Công ty Cổ phần Khoáng sản Hoàng Anh Gia Lai,Công ty Cổ phần Khoáng sản Hoàng Anh Gia Lai,Công ty con,Mượn tiền,-,5.950.000,,,,5950000.0
,,,,,147.685.000,696.748.336,,,147685000.0,696748336.0
