row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Vay ngắn hạn trái phiếu (TM số 18.1),Ngắn hạn > Vay ngắn hạn trái phiếu (TM số 18.1),Vay ngắn hạn trái phiếu (TM số 18.1),2.153.212.703,-,2153212703.0,
Vay ngắn hạn bên liên quan (TM số 18.2),Ngắn hạn > Vay ngắn hạn bên liên quan (TM số 18.2),Vay ngắn hạn bên liên quan (TM số 18.2),1.729.600.000,12.091.300,1729600000.0,12091300.0
Vay ngắn hạn ngân hàng (TM số 18.3),Ngắn hạn > Vay ngắn hạn ngân hàng (TM số 18.3),Vay ngắn hạn ngân hàng (TM số 18.3),599.911.828,299.597.754,599911828.0,299597754.0
Vay dài hạn trái phiếu đến hạn trả (TM số 18.4),Ngắn hạn > Vay dài hạn trái phiếu đến hạn trả (TM số 18.4),Vay dài hạn trái phiếu đến hạn trả (TM số 18.4),484.897.156,86.717.200,484897156.0,86717200.0
Vay dài hạn ngân hàng đến hạn trả (TM số 18.5),Ngắn hạn > Vay dài hạn ngân hàng đến hạn trả (TM số 18.5),Vay dài hạn ngân hàng đến hạn trả (TM số 18.5),5.281.825,5.167.051,5281825.0,5167051.0
,,,4.972.903.512,403.573.305,4972903512.0,403573305.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Vay dài hạn bên liên quan (TM số 18.6),Dài hạn > Vay dài hạn bên liên quan (TM số 18.6),Vay dài hạn bên liên quan (TM số 18.6),2.314.922.876,2.083.992.733,2314922876.0,2083992733.0
Vay dài hạn trái phiếu (TM số 18.4),Dài hạn > Vay dài hạn trái phiếu (TM số 18.4),Vay dài hạn trái phiếu (TM số 18.4),1.553.227.582,2.030.418.476,1553227582.0,2030418476.0
Vay dài hạn ngân hàng (TM số 18.5),Dài hạn > Vay dài hạn ngân hàng (TM số 18.5),Vay dài hạn ngân hàng (TM số 18.5),992.100.178,981.412.195,992100178.0,981412195.0
,,,4.860.250.636,5.095.823.404,4860250636.0,5095823404.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,9.833.154.148,5.499.396.709,9833154148.0,5499396709.0
