row_label_raw,row_label_full,col_0,Số đầu năm(Đã trình bày trước đây),Phân loại lại,Ngàn VND > Số đầu năm(Trình bày lại),numeric__Số đầu năm(Đã trình bày trước đây),numeric__Phân loại lại,numeric__Ngàn VND > Số đầu năm(Trình bày lại)
BÁO CÂN ĐỐI KẾ TOÁN,BÁO CÂN ĐỐI KẾ TOÁN,BÁO CÂN ĐỐI KẾ TOÁN,BÁO CÂN ĐỐI KẾ TOÁN,BÁO CÂN ĐỐI KẾ TOÁN,BÁO CÂN ĐỐI KẾ TOÁN,,,
Chi phí phải trả ngắn hạn,BÁO CÂN ĐỐI KẾ TOÁN > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,189.610.019,210.928.753,400.538.772,189610019.0,210928753.0,400538772.0
Phải trả ngắn hạn khác,BÁO CÂN ĐỐI KẾ TOÁN > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,1.504.320.548,(210.928.753),1.293.391.795,1504320548.0,-210928753.0,1293391795.0
Chi phí phải trả dài hạn,BÁO CÂN ĐỐI KẾ TOÁN > Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,-,678.380.824,678.380.824,,678380824.0,678380824.0
Phải trả dài hạn khác,BÁO CÂN ĐỐI KẾ TOÁN > Phải trả dài hạn khác,Phải trả dài hạn khác,678.380.824,(678.380.824),-,678380824.0,-678380824.0,
