row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Ngàn VND > Năm nay,Ngàn VND > Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Ngàn VND > Năm nay,numeric__Ngàn VND > Năm trước
Công ty TNHH Hoàng Anh Rattanakiri,Công ty TNHH Hoàng Anh Rattanakiri,Công ty TNHH Hoàng Anh Rattanakiri,Công ty con,Lãi cho vay,98.665.888,106.447.051,,,98665888.0,106447051.0
Công ty TNHH Hoàng Anh Oyadav,Công ty TNHH Hoàng Anh Oyadav,Công ty TNHH Hoàng Anh Oyadav,Công ty con,Lãi cho vayCho vay,98.325.59417.004.029,107.025.611-,,,9832559417004028.0,
Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Công ty con,Cho vayLãi cho vayBán hàng hóaMua hàng hóa,89.147.31121.039.42417.013.6996.316.956,-47.338.8479.820.5403.501.325,,,8.914731121039425e+30,-4.733884798205404e+21
Công ty TNHH Bình Phước Kratie Rubber 2,Công ty TNHH Bình Phước Kratie Rubber 2,Công ty TNHH Bình Phước Kratie Rubber 2,Công ty con,Mua hàng hóaCho vayLãi cho vay,86.637.90758.258.633818.461,--,,,8.663790758258634e+21,
Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty trong cùng Tập đoàn,Mua hàng hóaBán hàng hóa,72.866.32834.273.529,161.930.10424.725.081,,,7286632834273529.0,1.619301042472508e+16
Công ty Cổ phần gỗ Hoàng Anh Gia Lai,Công ty Cổ phần gỗ Hoàng Anh Gia Lai,Công ty Cổ phần gỗ Hoàng Anh Gia Lai,Bên liên quan,"Cho mượnBán hàng hóa, dịch vụMua hàng hóa, dịch vụ",36.600.0004.763.1293.576.381,--,,,3.660000047631294e+21,
Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty con,Cho vayLãi cho vayBán hàng hóaMua hàng hóa,35.776.32511.400.6795.924.1752.551.938,-15.317.1241.263.229-,,,3.577632511400679e+29,
Chi nhánh Cơ Khí Hoàng Anh Gia Lai,Chi nhánh Cơ Khí Hoàng Anh Gia Lai,Chi nhánh Cơ Khí Hoàng Anh Gia Lai,Công ty trong cùng Tập đoàn,Mua hàng hóaMua dịch vụ,34.823.458522.638,--,,,34823458522638.0,
Công ty Cổ phần Hoàng Anh Gia Lai – Chi Nhánh chế biến hoa quả,Công ty Cổ phần Hoàng Anh Gia Lai – Chi Nhánh chế biến hoa quả,Công ty Cổ phần Hoàng Anh Gia Lai – Chi Nhánh chế biến hoa quả,Công ty trong cùng Tập đoàn,"Mua TSCĐ, máy mócMua dịch vụ, vật tưBán hàng hóa, dịch vụ",31.909.87818.452.33310.600.796,-,,,3.1909878184523334e+23,
Công ty TNHH Heng Brother,Công ty TNHH Heng Brother,Công ty TNHH Heng Brother,Công ty con,Mua hàng hóa,13.013.825,-,,,13013825.0,
Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,Công ty con,"Mua nhiên liệu, dịch vụMua hàng hóa",21.477.07412.603.282,-18.235.640,,,2147707412603282.0,-18235640.0
Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Bên liên quan,Mượn tiền,11.685.000,-,,,11685000.0,
Công ty Cổ phần Cao su Bidiphar,Công ty Cổ phần Cao su Bidiphar,Công ty Cổ phần Cao su Bidiphar,Công ty liên kết,Cổ tức,10.457.823,-,,,10457823.0,
