row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,1.342.946.972,497.315.724,1342946972.0,497315724.0
Phải thu các bên liên quan từ việc cán trừ công nợ,Phải thu các bên liên quan từ việc cán trừ công nợ,Phải thu các bên liên quan từ việc cán trừ công nợ,1.160.275.338,-,1160275338.0,
Phải thu cổ tức,Phải thu cổ tức,Phải thu cổ tức,19.507.500,19.507.500,19507500.0,19507500.0
Phải thu lãi cho vay,Phải thu lãi cho vay,Phải thu lãi cho vay,17.747.051,453.186.982,17747051.0,453186982.0
Khác,Khác,Khác,145.417.083,24.621.242,145417083.0,24621242.0
Dài hạn,Dài hạn,Dài hạn,1.505.370.442,1.255.194.685,1505370442.0,1255194685.0
Phải thu lãi cho vay,Phải thu lãi cho vay,Phải thu lãi cho vay,1.505.370.442,1.250.194.685,1505370442.0,1250194685.0
Khác,Khác,Khác,-,5.000.000,,5000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.848.317.414,1.752.510.409,2848317414.0,1752510409.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu dài hạn các bên liên quan (TM số 26),Trong đó: > Phải thu dài hạn các bên liên quan (TM số 26),Phải thu dài hạn các bên liên quan (TM số 26),1.505.370.442,1.250.194.685,1505370442.0,1250194685.0
Phải thu ngắn hạn các bên liên quan (TM số 26),Trong đó: > Phải thu ngắn hạn các bên liên quan (TM số 26),Phải thu ngắn hạn các bên liên quan (TM số 26),1.242.519.649,459.639.964,1242519649.0,459639964.0
Phải thu các bên thứ ba,Trong đó: > Phải thu các bên thứ ba,Phải thu các bên thứ ba,100.427.323,42.675.760,100427323.0,42675760.0
