row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Trả trước cho người bán ngắn hạn (TM số 6),Trả trước cho người bán ngắn hạn (TM số 6),Trả trước cho người bán ngắn hạn (TM số 6),Trả trước cho người bán ngắn hạn (TM số 6),Trả trước cho người bán ngắn hạn (TM số 6),Trả trước cho người bán ngắn hạn (TM số 6),Trả trước cho người bán ngắn hạn (TM số 6),,,,
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Trả trước cho người bán ngắn hạn (TM số 6) > Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con,Mua hàng hóa,429.696.198,66.047.152,,,429696198.0,66047152.0
Công ty TNHH MTV Nông nghiệp Daun Penh,Trả trước cho người bán ngắn hạn (TM số 6) > Công ty TNHH MTV Nông nghiệp Daun Penh,Công ty TNHH MTV Nông nghiệp Daun Penh,Công ty con,Mua hàng hóa,120.773.266,-,,,120773266.0,
Công ty TNHH Hoàng Anh Lymphat,Trả trước cho người bán ngắn hạn (TM số 6) > Công ty TNHH Hoàng Anh Lymphat,Công ty TNHH Hoàng Anh Lymphat,Công ty con,Mua hàng hóa,108.870.177,-,,,108870177.0,
Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Trả trước cho người bán ngắn hạn (TM số 6) > Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty trong cùng Tập đoàn,Mua hàng hóa,70.348.150,-,,,70348150.0,
Công ty Cổ phần Cao su Trung Nguyên,Trả trước cho người bán ngắn hạn (TM số 6) > Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Công ty con,Mua hàng hóa,53.568.377,52.364.121,,,53568377.0,52364121.0
Công ty TNHH Bình Phước Kratie Rubber 2,Trả trước cho người bán ngắn hạn (TM số 6) > Công ty TNHH Bình Phước Kratie Rubber 2,Công ty TNHH Bình Phước Kratie Rubber 2,Công ty con,Mua hàng hóa,31.086.669,4.548.000,,,31086669.0,4548000.0
Công ty TNHH Heng Brothers,Trả trước cho người bán ngắn hạn (TM số 6) > Công ty TNHH Heng Brothers,Công ty TNHH Heng Brothers,Công ty con,Mua hàng hóa,29.894.388,28.667.096,,,29894388.0,28667096.0
Công ty Cổ phần Hoàng Anh Đắk Lắk,Trả trước cho người bán ngắn hạn (TM số 6) > Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty con,Mua hàng hóa,12.357.199,30.430.388,,,12357199.0,30430388.0
Công ty TNHH CN & NN Cao su Hoàng Anh Quang Minh,Trả trước cho người bán ngắn hạn (TM số 6) > Công ty TNHH CN & NN Cao su Hoàng Anh Quang Minh,Công ty TNHH CN & NN Cao su Hoàng Anh Quang Minh,Công ty con,Mua hàng hóa,5.034.304,29.400.729,,,5034304.0,29400729.0
Chi nhánh Cơ Khí Hoàng Anh Gia lai,Trả trước cho người bán ngắn hạn (TM số 6) > Chi nhánh Cơ Khí Hoàng Anh Gia lai,Chi nhánh Cơ Khí Hoàng Anh Gia lai,Công ty trong cùng Tập đoàn,Mua hàng hóa,862.509,-,,,862509.0,
Công ty TNHH MTV Kinh doanh XNK Hoàng Anh Gia Lai,Trả trước cho người bán ngắn hạn (TM số 6) > Công ty TNHH MTV Kinh doanh XNK Hoàng Anh Gia Lai,Công ty TNHH MTV Kinh doanh XNK Hoàng Anh Gia Lai,Công ty con,Mua hàng hóa,-,11.275.592,,,,11275592.0
Công ty Cổ phần Bò sữa Tây Nguyên,Trả trước cho người bán ngắn hạn (TM số 6) > Công ty Cổ phần Bò sữa Tây Nguyên,Công ty Cổ phần Bò sữa Tây Nguyên,Công ty con,Mua hàng hóa,-,2.067.403,,,,2067403.0
Chi nhánh Nguyên vật liệu Hoàng Anh Gia lai,Trả trước cho người bán ngắn hạn (TM số 6) > Chi nhánh Nguyên vật liệu Hoàng Anh Gia lai,Chi nhánh Nguyên vật liệu Hoàng Anh Gia lai,Công ty trong cùng Tập đoàn,Mua hàng hóa,-,653.840,,,,653840.0
