row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Hàng hóa,Hàng hóa,Hàng hóa,22.207.201,13.307.332,22207201.0,13307332.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",1.808.481,161.438,1808481.0,161438.0
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,1.690.951,-,1690951.0,
Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,46.020,101.831,46020.0,101831.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,25.752.653,13.570.601,25752653.0,13570601.0
Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,(431.314),(376.037),-431314.0,-376037.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,25.321.339,13.194.564,25321339.0,13194564.0
