row_label_raw,row_label_full,col_0,Tại ngày31/12/2021VND,Tại ngày01/01/2021VND,numeric__Tại ngày31/12/2021VND,numeric__Tại ngày01/01/2021VND
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Chi phí trích trước giá thành kế hoạch Dự ánKhu dân cư Phường Thống Nhất,Ngắn hạn: > Chi phí trích trước giá thành kế hoạch Dự ánKhu dân cư Phường Thống Nhất,Chi phí trích trước giá thành kế hoạch Dự ánKhu dân cư Phường Thống Nhất,33.973.150.529,86.122.557.869,33973150529.0,86122557869.0
Trích trước tiền thuê đất,Ngắn hạn: > Trích trước tiền thuê đất,Trích trước tiền thuê đất,26.885.570.540,22.888.164.272,26885570540.0,22888164272.0
Chi phí lãi vay phải trả,Ngắn hạn: > Chi phí lãi vay phải trả,Chi phí lãi vay phải trả,13.550.154.107,16.870.593.308,13550154107.0,16870593308.0
Chi phí phải trả khác,Ngắn hạn: > Chi phí phải trả khác,Chi phí phải trả khác,76.533.642.937,68.461.126.912,76533642937.0,68461126912.0
Cộng,Ngắn hạn: > Cộng,Cộng,150.942.518.113,194.342.442.361,150942518113.0,194342442361.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Chi phí trích trước tạm tính giá vốn kinh doanhKhu công nghiệp,Dài hạn: > Chi phí trích trước tạm tính giá vốn kinh doanhKhu công nghiệp,Chi phí trích trước tạm tính giá vốn kinh doanhKhu công nghiệp,643.702.922.190,491.034.072.332,643702922190.0,491034072332.0
Chi phí phải trả khác,Dài hạn: > Chi phí phải trả khác,Chi phí phải trả khác,7.719.632.755,8.567.067.755,7719632755.0,8567067755.0
Cộng,Dài hạn: > Cộng,Cộng,651.422.554.945,499.601.140.087,651422554945.0,499601140087.0
