row_label_raw,row_label_full,CHÍ TIÊU,Mã số,TM,Năm 2021,Năm 2020,numeric__Mã số,numeric__TM,numeric__Năm 2021,numeric__Năm 2020
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1,,5.187.428.888.415,4.974.931.094.856,1.0,,5187428888415.0,4974931094856.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2,,4.955.700,12.002.701,2.0,,4955700.0,12002701.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,5.1,5.187.423.932.715,4.974.919.092.155,10.0,51.0,5187423932715.0,4974919092155.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,5.2,3.087.253.430.304,3.070.227.594.672,11.0,52.0,3087253430304.0,3070227594672.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,2.100.170.502.411,1.904.691.497.483,20.0,,2100170502411.0,1904691497483.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,5.3,344.296.034.303,337.782.940.384,21.0,53.0,344296034303.0,337782940384.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,5.4,121.046.970.344,218.295.568.663,22.0,54.0,121046970344.0,218295568663.0
"Trong đó, chi phí lãi vay","Trong đó, chi phí lãi vay","Trong đó, chi phí lãi vay",23,,118.253.830.309,129.766.838.146,23.0,,118253830309.0,129766838146.0
8. Phần lãi hoặc lỗ trong công ty liên kết,8. Phần lãi hoặc lỗ trong công ty liên kết,8. Phần lãi hoặc lỗ trong công ty liên kết,24,,(6.885.830.148),1.844.553.853,24.0,,-6885830148.0,1844553853.0
9. Chi phí bán hàng,9. Chi phí bán hàng,9. Chi phí bán hàng,25,5.5,120.114.833.189,113.381.251.821,25.0,55.0,120114833189.0,113381251821.0
10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,26,5.6,444.508.859.140,404.648.039.089,26.0,56.0,444508859140.0,404648039089.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Lợi nhuận thuần từ hoạt động kinh doanh,30,,1.751.910.043.893,1.507.994.132.147,30.0,,1751910043893.0,1507994132147.0
12. Thu nhập khác,12. Thu nhập khác,12. Thu nhập khác,31,,31.420.872.650,24.024.312.574,31.0,,31420872650.0,24024312574.0
13. Chi phí khác,13. Chi phí khác,13. Chi phí khác,32,,10.528.615.269,15.830.051.904,32.0,,10528615269.0,15830051904.0
14. Lợi nhuận khác,14. Lợi nhuận khác,14. Lợi nhuận khác,40,,20.892.257.381,8.194.260.670,40.0,,20892257381.0,8194260670.0
15. Tổng lợi nhuận kế toán trước thuế,15. Tổng lợi nhuận kế toán trước thuế,15. Tổng lợi nhuận kế toán trước thuế,50,,1.772.802.301.274,1.516.188.392.817,50.0,,1772802301274.0,1516188392817.0
16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,51,5.8,292.205.084.294,236.396.580.153,51.0,58.0,292205084294.0,236396580153.0
17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,52,5.9,(17.036.451.820),10.003.640.556,52.0,59.0,-17036451820.0,10003640556.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,1.497.633.668.800,1.269.788.172.108,60.0,,1497633668800.0,1269788172108.0
19. Lợi nhuận sau thuế của công ty mẹ,19. Lợi nhuận sau thuế của công ty mẹ,19. Lợi nhuận sau thuế của công ty mẹ,61,,901.917.681.979,737.498.075.443,61.0,,901917681979.0,737498075443.0
20. Lợi nhuận sau thuế của cổ đông không kiểm soát,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,595.715.986.821,532.290.096.665,62.0,,595715986821.0,532290096665.0
21. Lãi cơ bản trên cổ phiếu,21. Lãi cơ bản trên cổ phiếu,21. Lãi cơ bản trên cổ phiếu,70,4.23.3,2.370,1.935,70.0,4233.0,2370.0,1935.0
22. Lãi suy giảm trên cổ phiếu,22. Lãi suy giảm trên cổ phiếu,22. Lãi suy giảm trên cổ phiếu,71,4.23.4,2.370,1.935,71.0,4234.0,2370.0,1935.0
