row_label_raw,row_label_full,col_0,Tại ngày31/12/2021VND,Tại ngày01/01/2021VND,numeric__Tại ngày31/12/2021VND,numeric__Tại ngày01/01/2021VND
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
"Cổ tức, lợi nhuận phải trả","Ngắn hạn: > Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả",14.585.484.784,11.996.072.204,14585484784.0,11996072204.0
"Nhận ký quỹ, ký cược","Ngắn hạn: > Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược",65.615.613.863,90.268.428.266,65615613863.0,90268428266.0
Phải trả ngân sách Nhà nước,Ngắn hạn: > Phải trả ngân sách Nhà nước,Phải trả ngân sách Nhà nước,47.382.461.015,47.382.488.015,47382461015.0,47382488015.0
"Các khoản phải trả, phải nộp khác","Ngắn hạn: > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",79.318.997.161,83.824.690.213,79318997161.0,83824690213.0
Cộng,Ngắn hạn: > Cộng,Cộng,206.902.556.823,233.471.678.698,206902556823.0,233471678698.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
"Cổ tức, lợi nhuận phải trả","Dài hạn: > Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả",94.749.998.164,100.595.684.164,94749998164.0,100595684164.0
"Nhận ký quỹ, ký cược","Dài hạn: > Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược",126.684.951.076,113.369.730.801,126684951076.0,113369730801.0
Phải trả Công ty Cổ phần Kinh doanh Khí hóa lồng,Dài hạn: > Phải trả Công ty Cổ phần Kinh doanh Khí hóa lồng,Phải trả Công ty Cổ phần Kinh doanh Khí hóa lồng,16.530.632.897,16.530.632.897,16530632897.0,16530632897.0
Miền Nam tiền hỗ trợ giải phóng mặt bằng,Dài hạn: > Miền Nam tiền hỗ trợ giải phóng mặt bằng,Miền Nam tiền hỗ trợ giải phóng mặt bằng,220.550.897.205,-,220550897205.0,
Nhận góp vốn Khu dân cư Hữu Phước,Dài hạn: > Nhận góp vốn Khu dân cư Hữu Phước,Nhận góp vốn Khu dân cư Hữu Phước,17.601.131.909,18.238.318.377,17601131909.0,18238318377.0
"Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",,,,
Cộng,"Các khoản phải trả, phải nộp khác > Cộng",Cộng,476.117.611.251,248.734.366.239,476117611251.0,248734366239.0
