row_label_raw,row_label_full,col_0,Tại ngày 31/12/2021VND > Giá trị,Tại ngày 31/12/2021VND > Dự phòng,Tại ngày 01/01/2021VND > Giá trị,Tại ngày 01/01/2021VND > Dự phòng,numeric__Tại ngày 31/12/2021VND > Giá trị,numeric__Tại ngày 31/12/2021VND > Dự phòng,numeric__Tại ngày 01/01/2021VND > Giá trị,numeric__Tại ngày 01/01/2021VND > Dự phòng
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,,,
Phải thu khác bên liên quan - Xem thêm mục 8,Ngắn hạn: > Phải thu khác bên liên quan - Xem thêm mục 8,Phải thu khác bên liên quan - Xem thêm mục 8,394.232.145,-,1.315.440.000,-,394232145.0,,1315440000.0,
Đầu tư hợp tác kinh doanh với Công ty Cổ phầnKinh doanh nhà Đồng Nai (*) - Xem thêm mục 8,Ngắn hạn: > Đầu tư hợp tác kinh doanh với Công ty Cổ phầnKinh doanh nhà Đồng Nai (*) - Xem thêm mục 8,Đầu tư hợp tác kinh doanh với Công ty Cổ phầnKinh doanh nhà Đồng Nai (*) - Xem thêm mục 8,93.062.403.717,-,-,-,93062403717.0,,,
Dự thu lãi tiền gửi,Ngắn hạn: > Dự thu lãi tiền gửi,Dự thu lãi tiền gửi,59.663.811.379,-,106.154.102.100,-,59663811379.0,,106154102100.0,
"Khoản tiền bồi thường về việc Phê duyệt bồi thường,hỗ trợ thuộc dự án CCN Long Phước 1 tại Xã Long Phước,Huyện Long Thành","Ngắn hạn: > Khoản tiền bồi thường về việc Phê duyệt bồi thường,hỗ trợ thuộc dự án CCN Long Phước 1 tại Xã Long Phước,Huyện Long Thành","Khoản tiền bồi thường về việc Phê duyệt bồi thường,hỗ trợ thuộc dự án CCN Long Phước 1 tại Xã Long Phước,Huyện Long Thành",32.297.164.346,-,8.755.475.031,-,32297164346.0,,8755475031.0,
Tạm ứng kinh phí bồi thường dự án Khu công nghiệp Tân Đức,Ngắn hạn: > Tạm ứng kinh phí bồi thường dự án Khu công nghiệp Tân Đức,Tạm ứng kinh phí bồi thường dự án Khu công nghiệp Tân Đức,30.000.000.000,-,-,-,30000000000.0,,,
"Kỹ quỹ, ký cược","Ngắn hạn: > Kỹ quỹ, ký cược","Kỹ quỹ, ký cược",14.752.619.325,-,39.688.141.608,-,14752619325.0,,39688141608.0,
Phải thu khác,Ngắn hạn: > Phải thu khác,Phải thu khác,37.545.126.295,-,37.204.097.845,-,37545126295.0,,37204097845.0,
Cộng,Ngắn hạn: > Cộng,Cộng,267.715.357.207,-,193.117.256.584,-,267715357207.0,,193117256584.0,
Dải hạn:,Dải hạn:,Dải hạn:,Dải hạn:,Dải hạn:,Dải hạn:,Dải hạn:,,,,
Đầu tư hợp tác kinh doanh với Công ty ICD Tân CảngLong Bình (**),Dải hạn: > Đầu tư hợp tác kinh doanh với Công ty ICD Tân CảngLong Bình (**),Đầu tư hợp tác kinh doanh với Công ty ICD Tân CảngLong Bình (**),91.470.000.000,-,91.470.000.000,-,91470000000.0,,91470000000.0,
"Ký quỹ, ký cược","Dải hạn: > Ký quỹ, ký cược","Ký quỹ, ký cược",25.344.001.120,-,18.096.294.561,-,25344001120.0,,18096294561.0,
Phải thu khác,Dải hạn: > Phải thu khác,Phải thu khác,10.156.670.939,(6.476.078.400),10.156.670.939,(6.476.078.400),10156670939.0,-6476078400.0,10156670939.0,-6476078400.0
Cộng,Dải hạn: > Cộng,Cộng,126.970.672.059,(6.476.078.400),119.722.965.500,(6.476.078.400),126970672059.0,-6476078400.0,119722965500.0,-6476078400.0
