row_label_raw,row_label_full,BÁO CÁO CỦA BAN TỔNG GIÁM ĐỐC,01 - 02,numeric__01 - 02
BÁO CÁO KIỂM TOÁN ĐỌC LẬP,BÁO CÁO KIỂM TOÁN ĐỌC LẬP,BÁO CÁO KIỂM TOÁN ĐỌC LẬP,03 - 04,
BÁO CÁO TÀI CHÍNH HỢP NHẤT ĐÃ ĐƯỢC KIỂM TOÁN,BÁO CÁO TÀI CHÍNH HỢP NHẤT ĐÃ ĐƯỢC KIỂM TOÁN,BÁO CÁO TÀI CHÍNH HỢP NHẤT ĐÃ ĐƯỢC KIỂM TOÁN,,
Bàng cân đối kế toán hợp nhất,Bàng cân đối kế toán hợp nhất,Bàng cân đối kế toán hợp nhất,05 - 08,
Báo cáo kết quả hoạt động kinh doanh hợp nhất,Bàng cân đối kế toán hợp nhất > Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,09,9.0
Báo cáo lưu chuyển tiền tệ hợp nhất,Báo cáo lưu chuyển tiền tệ hợp nhất,Báo cáo lưu chuyển tiền tệ hợp nhất,10 - 11,
Bản thuyết minh báo cáo tài chính hợp nhất,Bản thuyết minh báo cáo tài chính hợp nhất,Bản thuyết minh báo cáo tài chính hợp nhất,12 - 60,
