row_label_raw,row_label_full,TÀI SẢN,Mã số,TM,Tại ngày 31/12/2021,Tại ngày 01/01/2021,numeric__Mã số,numeric__TM,numeric__Tại ngày 31/12/2021,numeric__Tại ngày 01/01/2021
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,15.378.555.469.510,13.552.302.260.447,200.0,,15378555469510.0,13552302260447.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,120.694.593.659,113.446.887.100,210.0,,120694593659.0,113446887100.0
1. Phải thu dài hạn của khách hàng,1. Phải thu dài hạn của khách hàng,1. Phải thu dài hạn của khách hàng,211,,74.540.000,74.540.000,211.0,,74540000.0,74540000.0
2. Trả trước cho người bán dài hạn,2. Trả trước cho người bán dài hạn,2. Trả trước cho người bán dài hạn,212,,200.000.000,200.000.000,212.0,,200000000.0,200000000.0
3. Phải thu dài hạn khác,3. Phải thu dài hạn khác,3. Phải thu dài hạn khác,216,4.5,126.970.672.059,119.722.965.500,216.0,45.0,126970672059.0,119722965500.0
4. Dự phòng phải thu dài hạn khó đòi,4. Dự phòng phải thu dài hạn khó đòi,4. Dự phòng phải thu dài hạn khó đòi,219,4.6,(6.550.618.400),(6.550.618.400),219.0,46.0,-6550618400.0,-6550618400.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,4.640.198.960.431,4.624.835.956.186,220.0,,4640198960431.0,4624835956186.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,4.9,4.286.548.022.559,4.261.663.733.844,221.0,49.0,4286548022559.0,4261663733844.0
Nguyên giá,Nguyên giá,Nguyên giá,222,,8.551.038.842.572,8.079.763.129.861,222.0,,8551038842572.0,8079763129861.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,,(4.264.490.820.013),(3.818.099.396.017),223.0,,-4264490820013.0,-3818099396017.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,4.10,353.650.937.872,363.172.222.342,227.0,410.0,353650937872.0,363172222342.0
Nguyên giá,Nguyên giá,Nguyên giá,228,,490.683.788.146,489.761.788.146,228.0,,490683788146.0,489761788146.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(137.032.850.274),(126.589.565.804),229.0,,-137032850274.0,-126589565804.0
III. Bất động sản đầu tư,III. Bất động sản đầu tư,III. Bất động sản đầu tư,230,4.11,2.708.820.292.692,2.732.238.312.169,230.0,411.0,2708820292692.0,2732238312169.0
1. Nguyên giá,1. Nguyên giá,1. Nguyên giá,231,,4.397.457.828.790,4.275.911.691.064,231.0,,4397457828790.0,4275911691064.0
2. Giá trị hao mòn lũy kế,2. Giá trị hao mòn lũy kế,2. Giá trị hao mòn lũy kế,232,,(1.688.637.536.098),(1.543.673.378.895),232.0,,-1688637536098.0,-1543673378895.0
IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,240,,6.002.270.042.050,4.607.439.323.381,240.0,,6002270042050.0,4607439323381.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn","1. Chi phí sản xuất, kinh doanh dở dang dài hạn","1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,4.12,32.288.469.398,43.910.932.084,241.0,412.0,32288469398.0,43910932084.0
2. Chi phí xây dựng cơ bản dở dang,2. Chi phí xây dựng cơ bản dở dang,2. Chi phí xây dựng cơ bản dở dang,242,4.13,5.969.981.572.652,4.563.528.391.297,242.0,413.0,5969981572652.0,4563528391297.0
V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,250,4.2,473.977.203.630,533.246.143.808,250.0,42.0,473977203630.0,533246143808.0
1. Đầu tư vào công ty liên kết,1. Đầu tư vào công ty liên kết,1. Đầu tư vào công ty liên kết,252,,305.737.840.018,310.520.402.359,252.0,,305737840018.0,310520402359.0
2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,253,,171.002.252.350,163.512.562.294,253.0,,171002252350.0,163512562294.0
3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,254,,(2.762.888.738),(786.820.845),254.0,,-2762888738.0,-786820845.0
4. Đầu tư nấm giữ đến ngày đáo hạn,4. Đầu tư nấm giữ đến ngày đáo hạn,4. Đầu tư nấm giữ đến ngày đáo hạn,255,,-,60.000.000.000,255.0,,,60000000000.0
VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,260,,1.432.594.377.048,941.095.637.803,260.0,,1432594377048.0,941095637803.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,4.8,1.392.315.441.470,917.853.154.045,261.0,48.0,1392315441470.0,917853154045.0
2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,262,5.9,40.278.935.578,23.242.483.758,262.0,59.0,40278935578.0,23242483758.0
TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,270,,21.978.377.327.485,20.492.806.378.083,270.0,,21978377327485.0,20492806378083.0
