row_label_raw,row_label_full,Tên > Bà Đỗ Thị Thu HằngÔng Trần Thanh Hải > Ông Phan Đình Thám,Chức vụ > Chủ tịch Hội đồng quản trịThành viên Hội đồng quản trị kiểm Tổng Giám đốc(bổ nhiệm ngày 01/05/2021) > Tổng Giám đốc(miễn nhiệm ngày 01/05/2021)Thành viên Hội đồng quản trị(miễn nhiệm ngày 28/04/2021),Năm 2021 VND > 1.336.112.6201.199.256.741 > 408.015.443,Năm 2020 VND > 1.410.670.1251.193.544.752 > 1.242.637.652,numeric__Chức vụ > Chủ tịch Hội đồng quản trịThành viên Hội đồng quản trị kiểm Tổng Giám đốc(bổ nhiệm ngày 01/05/2021) > Tổng Giám đốc(miễn nhiệm ngày 01/05/2021)Thành viên Hội đồng quản trị(miễn nhiệm ngày 28/04/2021),numeric__Năm 2021 VND > 1.336.112.6201.199.256.741 > 408.015.443,numeric__Năm 2020 VND > 1.410.670.1251.193.544.752 > 1.242.637.652
Bà Nguyễn Thị Hạnh,Bà Nguyễn Thị Hạnh,Bà Nguyễn Thị Hạnh,Thành viên Hội đồng quản trị kiểm Phó Tổng Giám đốc,1.120.866.035,1.172.690.488,,1120866035.0,1172690488.0
Ông Đình Ngọc Thuận,Ông Đình Ngọc Thuận,Ông Đình Ngọc Thuận,Thành viên Hội đồng quản trị kiểm Phó Tổng Giám đốc,1.067.454.855,1.393.514.780,,1067454855.0,1393514780.0
Bà Lương Minh Hiền,Bà Lương Minh Hiền,Bà Lương Minh Hiền,Thành viên Hội đồng quản trị kiểm Phó Tổng Giám đốc(bổ nhiệm ngày 28/04/2021),602.861.224,-,,602861224.0,
Ông Nguyễn Long Bôn,Ông Nguyễn Long Bôn,Ông Nguyễn Long Bôn,Phó Tổng Giám đốc (nghĩ hưu từ ngày 01/12/2020),-,516.000.000,,,516000000.0
Ông Nguyễn Văn TuấnÔng Phạm Quốc Chí,Ông Nguyễn Văn TuấnÔng Phạm Quốc Chí,Ông Nguyễn Văn TuấnÔng Phạm Quốc Chí,Thành viên Hội đồng quản trịThành viên Hội đồng quản trị,205.658.790205.658.790,216.281.302216.281.302,,2.0565879020565878e+17,2.162813022162813e+17
Bà Lê Thị Bích Loan,Bà Lê Thị Bích Loan,Bà Lê Thị Bích Loan,Kế toán trưởng(bổ nhiệm ngày 01/05/2020),754.363.936,659.643.241,,754363936.0,659643241.0
Bà Phan Thùy Doan,Bà Phan Thùy Doan,Bà Phan Thùy Doan,Kế toán trưởng(miễn nhiệm ngày 01/05/2020),-,159.423.281,,,159423281.0
Cộng,Cộng,Cộng,,6.900.248.434,8.180.686.923,,6900248434.0,8180686923.0
