row_label_raw,row_label_full,Danh sách các bên liên quan,Môi quan hệ,numeric__Môi quan hệ
1. Công ty Cổ phần Sơn Đồng Nai,1. Công ty Cổ phần Sơn Đồng Nai,1. Công ty Cổ phần Sơn Đồng Nai,Công ty liên kết,
2. Công ty Cổ phần Dịch vụ Cảng Đồng Nai,2. Công ty Cổ phần Dịch vụ Cảng Đồng Nai,2. Công ty Cổ phần Dịch vụ Cảng Đồng Nai,Công ty liên kết,
3. Công ty Cổ phần Cảng Long Thành,3. Công ty Cổ phần Cảng Long Thành,3. Công ty Cổ phần Cảng Long Thành,Công ty liên kết,
4. Công ty Cổ phần Xây dựng Đồng Nai,4. Công ty Cổ phần Xây dựng Đồng Nai,4. Công ty Cổ phần Xây dựng Đồng Nai,Công ty liên kết,
5. Công ty Cổ phần Dịch vụ và Xây dựng Cấp nước Đồng Nai,5. Công ty Cổ phần Dịch vụ và Xây dựng Cấp nước Đồng Nai,5. Công ty Cổ phần Dịch vụ và Xây dựng Cấp nước Đồng Nai,Công ty liên kết,
6. Trường Cao đẳng Công nghệ và Quản trị Sonadezi,6. Trường Cao đẳng Công nghệ và Quản trị Sonadezi,6. Trường Cao đẳng Công nghệ và Quản trị Sonadezi,Công ty liên kết,
7. Công ty Cổ phần Kinh doanh nhà Đồng Nai,7. Công ty Cổ phần Kinh doanh nhà Đồng Nai,7. Công ty Cổ phần Kinh doanh nhà Đồng Nai,Công ty liên kết,
8. Công ty Cổ phần Cấp nước Gia Tân,8. Công ty Cổ phần Cấp nước Gia Tân,8. Công ty Cổ phần Cấp nước Gia Tân,Công ty liên kết,
9. Công ty TNHH Tiên Triết,9. Công ty TNHH Tiên Triết,9. Công ty TNHH Tiên Triết,Công ty có cùng nhân sự quản lý chủ chốt,
10. Công ty Cổ phần Tiếp vận Số 1 Đồng Nai,10. Công ty Cổ phần Tiếp vận Số 1 Đồng Nai,10. Công ty Cổ phần Tiếp vận Số 1 Đồng Nai,Công ty có cùng nhân sự quản lý chủ chốt,
11. Hội đồng quản trị và Ban Tổng Giám đốc Tổng Công ty,11. Hội đồng quản trị và Ban Tổng Giám đốc Tổng Công ty,11. Hội đồng quản trị và Ban Tổng Giám đốc Tổng Công ty,Nhân sự quản lý chủ chốt,
