row_label_raw,row_label_full,col_0,Tại ngày 31/12/2021VND,Tại ngày 31/12/2021VND_1,Tại ngày 01/01/2021VND,Tại ngày 01/01/2021VND_1,numeric__Tại ngày 31/12/2021VND,numeric__Tại ngày 31/12/2021VND_1,numeric__Tại ngày 01/01/2021VND,numeric__Tại ngày 01/01/2021VND_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",49.956.524.972,(133.181.950),44.644.995.843,-,49956524972.0,-133181950.0,44644995843.0,
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",2.105.620.549,-,4.513.170.936,-,2105620549.0,,4513170936.0,
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,355.199.970.365,-,379.359.720.542,-,355199970365.0,,379359720542.0,
"Dự án Khu dân cưXã Lộc An,Huyện Long Thành","Dự án Khu dân cưXã Lộc An,Huyện Long Thành","Dự án Khu dân cưXã Lộc An,Huyện Long Thành",67.220.497.959,-,130.258.098.507,-,67220497959.0,,130258098507.0,
Dự ánChung cư D2D,Dự ánChung cư D2D,Dự ánChung cư D2D,24.915.755.344,-,24.915.755.344,-,24915755344.0,,24915755344.0,
Dự án Khu dân cưAn Hòa 3,Dự án Khu dân cưAn Hòa 3,Dự án Khu dân cưAn Hòa 3,45.064.193.650,-,44.051.847.967,-,45064193650.0,,44051847967.0,
Các dự án khác,Các dự án khác,Các dự án khác,217.999.523.412,-,180.134.018.724,-,217999523412.0,,180134018724.0,
Thành phẩm,Thành phẩm,Thành phẩm,2.874.961.721,-,5.460.145.646,-,2874961721.0,,5460145646.0,
Hàng hóa,Hàng hóa,Hàng hóa,2.226.161.621,-,1.936.847.915,-,2226161621.0,,1936847915.0,
Cộng,Cộng,Cộng,412.363.239.228,(133.181.950),435.914.880.882,-,412363239228.0,-133181950.0,435914880882.0,
