row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Chênh lệch đánh giá lai tài sản,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Nguồn vốn đầu tư XDCB,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Chênh lệch đánh giá lai tài sản,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Nguồn vốn đầu tư XDCB,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
Tại ngày 01/01/2020,Tại ngày 01/01/2020,Tại ngày 01/01/2020,3.765.000,107.307,182.186,(90),(595.686),422.162,15.473,956.448,3.056,2.872.458,7.728.314,3765000.0,107307.0,182186.0,-90.0,-595686.0,422162.0,15473.0,956448.0,3056.0,2872458.0,7728314.0
Lợi nhuận trong năm trước,Lợi nhuận trong năm trước,Lợi nhuận trong năm trước,-,-,-,-,-,-,-,737.498,-,532.290,1.269.788,,,,,,,,737498.0,,532290.0,1269788.0
Trích lập quỹ thuộc nguồn vốn,Trích lập quỹ thuộc nguồn vốn,Trích lập quỹ thuộc nguồn vốn,-,-,-,-,-,106.100,(11.142),(94.958),-,-,-,,,,,,106100.0,-11142.0,-94958.0,,,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,(63.188),-,(50.819),(114.007),,,,,,,,-63188.0,,-50819.0,-114007.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,-,(188.246),-,(350.816),(539.062),,,,,,,,-188246.0,,-350816.0,-539062.0
Tăng/(giảm) từ liên kết,Tăng/(giảm) từ liên kết,Tăng/(giảm) từ liên kết,-,650,-,-,-,-,-,8.685,-,-,9.335,,650.0,,,,,,8685.0,,,9335.0
Tăng/(giảm) do ngừng hợp nhất,Tăng/(giảm) do ngừng hợp nhất,Tăng/(giảm) do ngừng hợp nhất,-,-,-,-,-,-,-,(22),-,(20),(42),,,,,,,,-22.0,,-20.0,-42.0
Tăng/(giảm) vốn trong năm,Tăng/(giảm) vốn trong năm,Tăng/(giảm) vốn trong năm,-,-,51.862,-,-,(51.862),-,-,-,84.580,84.580,,,51862.0,,,-51862.0,,,,84580.0,84580.0
Tăng/(giảm) khác,Tăng/(giảm) khác,Tăng/(giảm) khác,-,-,-,-,-,5.397,-,(15.938),-,10.497,(44),,,,,,5397.0,,-15938.0,,10497.0,-44.0
Hoàn trả lại Nguồn vốn đầu tư xây dựng cơ bản,Hoàn trả lại Nguồn vốn đầu tư xây dựng cơ bản,Hoàn trả lại Nguồn vốn đầu tư xây dựng cơ bản,-,-,-,-,-,-,-,-,(3.056),-,(3.056),,,,,,,,,-3056.0,,-3056.0
Tại ngày 01/01/2021,Tại ngày 01/01/2021,Tại ngày 01/01/2021,3.765.000,107.957,234.048,(90),(595.686),481.797,4.331,1.340.279,-,3.098.170,8.435.806,3765000.0,107957.0,234048.0,-90.0,-595686.0,481797.0,4331.0,1340279.0,,3098170.0,8435806.0
Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,-,-,-,-,-,-,-,901.918,-,595.716,1.497.634,,,,,,,,901918.0,,595716.0,1497634.0
Trích lập quỹ thuộc nguồn vốn,Trích lập quỹ thuộc nguồn vốn,Trích lập quỹ thuộc nguồn vốn,-,-,-,-,-,116.071,-,(116.071),-,-,-,,,,,,116071.0,,-116071.0,,,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,(74.178),-,(57.176),(131.354),,,,,,,,-74178.0,,-57176.0,-131354.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,-,(376.492),-,(272.944),(649.436),,,,,,,,-376492.0,,-272944.0,-649436.0
Tăng/(giảm) từ liên kết,Tăng/(giảm) từ liên kết,Tăng/(giảm) từ liên kết,-,(2.253),-,-,2.823,-,-,(2.823),-,-,(2.253),,-2253.0,,,2823.0,,,-2823.0,,,-2253.0
Tăng/(giảm) do thay đổi tỷ lệ sở hữu,Tăng/(giảm) do thay đổi tỷ lệ sở hữu,Tăng/(giảm) do thay đổi tỷ lệ sở hữu,-,-,-,-,-,-,-,(33.235),-,33.235,-,,,,,,,,-33235.0,,33235.0,
Tăng/(giảm) vốn trong năm,Tăng/(giảm) vốn trong năm,Tăng/(giảm) vốn trong năm,-,-,-,-,-,-,-,-,-,114.788,114.788,,,,,,,,,,114788.0,114788.0
Tăng/(giảm) khác,Tăng/(giảm) khác,Tăng/(giảm) khác,-,-,-,-,-,-,-,2.235,-,7.828,10.063,,,,,,,,2235.0,,7828.0,10063.0
Tại ngày 31/12/2021,Tại ngày 31/12/2021,Tại ngày 31/12/2021,3.765.000,105.704,234.048,(90),(592.863),597.868,4.331,1.641.633,-,3.519.617,9.275.248,3765000.0,105704.0,234048.0,-90.0,-592863.0,597868.0,4331.0,1641633.0,,3519617.0,9275248.0
